ART_SISF_NR; ART_NAM_LAT; ART_NAM_DEU; ART_NAM_FRZ; ART_NAM_ITA; ART_SCHICHT_STD; ART_HS_COLLIN; ART_HS_SUBMONTAN; ART_HS_UNTERMONT; ART_HS_OBERMONT; ART_HS_HOCHMONT; ART_HS_SUBALPIN; ART_HS_OBSUBALP; ART_REGION_J; ART_REGION_M; ART_REGION_1; ART_REGION_2A; ART_REGION_2B; ART_REGION_3; ART_REGION_4; ART_REGION_5A; ART_REGION_5AA; ART_REGION_5B; ART_EIG_GRP; ART_ZEIG_DET; ART_ZEIG_FLO; ART_LEBENSR
1000051;Bazzania trilobata;Grosses Peitschenmoos;;;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;53;;t3k2l1f3wr2n1h5d;gH
1000146;Ctenidium molluscum;;;;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;47;"Fels; Blockschutt";t3k3l2f3wr4n3h3d;gH
1000155;Dicranella heteromalla;;;;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;45;;t3k3l2f2wr2n1h3d;gH
1000171;Dicranum scoparium;Besenartiges Gabelzahnmoos;;;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;45;;t3k3l3f2wrxn1h5d;gH
1000214;Eurhynchium striatulum;Schönschnabelmoos;;;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;37;;t3k2l2f3wr4nhd;gH
1000265;Hedwigia ciliata aggr.;;;;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;48;"Fels; Blockschutt";t3k3l4f2wr2n1hd;gH
1000283;Hylocomium splendens;Etagenmoos;;;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;45;;t3k3l3f3wr2n1h5d;gH
1000284;Hylocomium umbratum;Dunkles Hainmoos;;;1;0;0;0;0;0;1;1;9;9;9;9;9;9;9;9;9;9;45;"Kalt; nur Nadelwald";t2kl1f3wrxnhd;gH
1000289;Hypnum cupressiforme aggr.;Zypressenschlafmoos;;;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;45;Oft auf Schutt oder Baumstämmen;t3k3lxf3wrxn3hd;gH
1000301;Isothecium alopecuroides;;;;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;48;"Fels; Blockschutt";t3k2l2f3wrxn1hd;gH
1000328;Leucobryum glaucum aggr.;;;;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;48;;t4k3l2f3wr2n1h5d;gH
1000375;Neckera crispa;;;;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;99;"Fels; Blockschutt";t3k2l2f3wr4n1hd;gH
1000399;Cratoneuron commutatum;Starknervenmoos;;;1;0;1;1;1;1;1;0;9;9;9;9;9;9;9;9;9;9;64;Tuffbildend;t3k3l3f5wr5n1h3d;eQ
1000422;Plagiomnium undulatum;;;;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;68;;t3k2l2f3wrxn5h3d;gH
1000427;Plagiothecium undulatum;Gewelltes Wurmmoos;;;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;52;"kalt; nur Nadelwald";t3k2l1f3wr2n1h3d;gH
1000434;Pleurozeum schreberi;Rotstengelmoos;;;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;45;nur Nadelwald;t2k3l3f3wr2n1h5d;gH
1000446;Polytrichum commune aggr.;Grosses Haarmützenmoos;;;1;0;0;0;0;1;1;0;9;9;9;9;9;9;9;9;9;9;56;;t3kl3f4wr2nhd;gH
1000447;Polytrichum formosum aggr.;Waldhaarmützenmoos;;;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;45;;t3k3l2f3wrxn1h5d;gH
1000448;Polytrichum juniperinum aggr.;;;;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;50;Rohboden;t1k3l4f2wr3n1h3d;eK
1000473;Ptilium crista-castrensis;Federmoos;;;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;45;"Kalt; nur Nadelwald";t3k3l2f3wr2n1h5d;gH
1000499;Rhytidiadelphus triquetrus;Grosses Kranzmoos;;;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;45;Nur Nadelwald;t3k3lxf3wrxn1h3d;gH
1000544;Sphagnum sp.;Torfmoose;;;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;56;;t3k2l4f5wr1n1h5d;gW
1000574;Thamnobryum alopecurum;;;;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;60;"Ahornwälder; Sonderwaldstandorte";t4k2l2f4wrxn3h3d;gH
1000577;Thuidium tamariscinum;Thujamoos;;;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;52;Moderzeiger;t3k3l2f3wr3n1h5d;gH
1000585;Tortella tortuosa aggr.;;;;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;58;;t3k3l3f2wr4n1h3d;gH
2000001;Cetraria islandica;Isländisch Moos;;;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;50;;;
2000002;Cladonia rangiferina;Echte Rentierflechte;;;1;;;;;;;;;;;;;;;;;;;;;
2000003;Cladonia pyxidata;Echte Becherflechte;;;1;;;;;;;;;;;;;;;;;;;;;
2000004;Cladonia furcata;Cladonia furcata;;;1;;;;;;;;;;;;;;;;;;;;;
