REGION; NAISTYP_SORT; NAISTYP; SISF_NR; VORH; QUELLE_BA
"H";"0003.0001501";"3LV hyp";"0000100";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0009500";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0060400";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0097200";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0113399";"b";"GC MF"
"H";"0003.0001501";"3LV hyp";"0165000";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0213300";"a";"GC MF"
"H";"0003.0001501";"3LV hyp";"0231500";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0302800";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0306100";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0317500";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0328400";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0330200";"b";"GC MF"
"H";"0003.0001501";"3LV hyp";"0330600";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0335600";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0335900";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0336000";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0336100";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0336200";"b";"GC MF"
"H";"0003.0001501";"3LV hyp";"0346500";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0363700";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0402200";"b";"GC MF"
"H";"0003.0001501";"3LV hyp";"0402300";"c";"GC MF"
"H";"0003.0001501";"3LV hyp";"0413600";"b";"GC MF"
"H";"0003.0001501";"3LV hyp";"0421400";"b";"GC MF"
"H";"0003.0001501";"3LV hyp";"0422450";"a";"GC MF"
"H";"0003.0001501";"3LV hyp";"0432800";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0000100";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0000300";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0000700";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0000800";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0009500";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0060400";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0096900";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0097200";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0113399";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0137700";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0165000";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0174200";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0213300";"a";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0217500";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0231500";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0238050";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0287100";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0317500";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0328400";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0330200";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0335600";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0335900";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0336000";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0336100";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0336200";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0346500";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0363700";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0402200";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0402300";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0413600";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0421400";"b";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0421500";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0422450";"a";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0432800";"c";"GC MF"
"H";"0003.0100001";"3L/4L hyp";"0433000";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0000100";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0000300";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0000700";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0000800";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0009500";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0060400";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0096900";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0097200";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0165000";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0174200";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0213300";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0217500";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0231500";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0287100";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0317500";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0328400";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0335600";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0335900";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0336100";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0336200";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0346500";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0363700";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0402200";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0402500";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0402700";"c";"GC MF"
"H";"0007.0010001";"7a hyp";"0413600";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0421400";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0421500";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0422450";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0432800";"b";"GC MF"
"H";"0007.0010001";"7a hyp";"0433000";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0000100";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0000300";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0000700";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0000800";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0009500";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0096900";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0097200";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0113399";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0137700";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0165000";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0172200";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0174200";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0174300";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0213300";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0217500";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0231500";"a";"GC MF"
"H";"0013.1000001";"13* hyp";"0238050";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0252900";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0287100";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0305900";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0317500";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0328400";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0330200";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0335600";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0335900";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0336000";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0336200";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0346500";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0363700";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0402200";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0402700";"c";"GC MF"
"H";"0013.1000001";"13* hyp";"0413600";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0421400";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0421500";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0422450";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0432800";"b";"GC MF"
"H";"0013.1000001";"13* hyp";"0433000";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0000300";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0000700";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0006900";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0009500";"b";"GC MF"
"H";"0022.1000001";"22* hyp";"0060400";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0096900";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0097800";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0137700";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0174200";"b";"GC MF"
"H";"0022.1000001";"22* hyp";"0174300";"c";"GC MF"
"H";"0022.1000001";"22* hyp";"0213300";"b";"GC MF"
"H";"0022.1000001";"22* hyp";"0217500";"b";"GC MF"
"H";"0022.1000001";"22* hyp";"0231500";"b";"GC MF"
