NAISTYP_SORT; FELD_NAME; FELD_WERT
"0001.0000000";"AM_B";"2"
"0001.0000000";"AM_S";"1"
"0001.0000000";"BE_Braunerd_norm";"1"
"0001.0000000";"BE_Braunerd_podso";"0"
"0001.0000000";"BE_Braunerd_vernaesst";"2"
"0001.0000000";"BE_GestRohB";"0"
"0001.0000000";"BE_Grundw_nassgebl";"0"
"0001.0000000";"BE_Grundw_norm";"0"
"0001.0000000";"BE_Parabraunerd_norm";"2"
"0001.0000000";"BE_Parabraunerd_podso";"0"
"0001.0000000";"BE_Parabraunerd_vernaesst";"2"
"0001.0000000";"BE_Pararendz_norm";"0"
"0001.0000000";"BE_Pararendz_verbraunt";"0"
"0001.0000000";"BE_Pararendz_vernaesst";"0"
"0001.0000000";"BE_Podsol_norm";"0"
"0001.0000000";"BE_Podsol_vernaesst";"0"
"0001.0000000";"BE_Ranker_norm";"0"
"0001.0000000";"BE_Ranker_verbraunt";"0"
"0001.0000000";"BE_Ranker_vernaesst";"0"
"0001.0000000";"BE_Regosol_norm";"0"
"0001.0000000";"BE_Regosol_verbraunt";"0"
"0001.0000000";"BE_Regosol_vernaesst";"0"
"0001.0000000";"BE_Rendz_norm";"0"
"0001.0000000";"BE_Rendz_verbraunt";"0"
"0001.0000000";"BE_Rendz_vernaesst";"0"
"0001.0000000";"BE_Stauw_nassgebl";"0"
"0001.0000000";"BE_Stauw_norm";"0"
"0001.0000000";"BE_V_Auenb";"0"
"0001.0000000";"BE_V_Braunpod";"0"
"0001.0000000";"BE_V_Humuspod";"0"
"0001.0000000";"BE_V_OrgB";"0"
"0001.0000000";"BE_V_neutrBraune";"0"
"0001.0000000";"GS_01";"0"
"0001.0000000";"GS_02";"0"
"0001.0000000";"GS_03";"0"
"0001.0000000";"GS_04";"0"
"0001.0000000";"GS_05";"0"
"0001.0000000";"GS_06";"0"
"0001.0000000";"GS_07";"0"
"0001.0000000";"GS_08";"0"
"0001.0000000";"GS_09";"0"
"0001.0000000";"GS_10";"0"
"0001.0000000";"GS_11";"0"
"0001.0000000";"GS_12";"0"
"0001.0000000";"GS_13";"0"
"0001.0000000";"GS_14";"0"
"0001.0000000";"GS_15";"0"
"0001.0000000";"GS_16";"0"
"0001.0000000";"GS_17";"0"
"0001.0000000";"GS_18";"0"
"0001.0000000";"GS_19";"0"
"0001.0000000";"GS_20";"0"
"0001.0000000";"GS_21";"0"
"0001.0000000";"GS_22";"1"
"0001.0000000";"GS_23";"2"
"0001.0000000";"GS_24";"0"
"0001.0000000";"GS_25";"0"
"0001.0000000";"GS_26";"0"
"0001.0000000";"GS_27";"2"
"0001.0000000";"GS_28";"1"
"0001.0000000";"GS_29";"2"
"0001.0000000";"GS_30";"0"
"0001.0000000";"GS_31";"0"
"0001.0000000";"GS_32";"0"
"0001.0000000";"GS_33";"0"
"0001.0000000";"GS_34";"0"
"0001.0000000";"GS_35";"0"
"0001.0000000";"GS_36";"0"
"0001.0000000";"HUF_V_Anmoor";"0"
"0001.0000000";"HUF_V_Kalkmoder";"0"
"0001.0000000";"HUF_V_Kalkmull";"0"
"0001.0000000";"HUF_V_Tangel";"0"
"0001.0000000";"HUF_V_Torf";"0"
"0001.0000000";"HUF_V_erod";"2"
"0001.0000000";"HUF_mo-mull_hydro";"0"
"0001.0000000";"HUF_mo-mull_norm";"1"
"0001.0000000";"HUF_mo-mull_xero";"0"
"0001.0000000";"HUF_mo-rh_hydro";"0"
"0001.0000000";"HUF_mo-rh_norm";"0"
"0001.0000000";"HUF_mo-rh_xero";"0"
"0001.0000000";"HUF_mo-typ_hydro";"0"
"0001.0000000";"HUF_mo-typ_norm";"2"
"0001.0000000";"HUF_mo-typ_xero";"0"
"0001.0000000";"HUF_mu-f_hydro";"0"
"0001.0000000";"HUF_mu-f_norm";"0"
"0001.0000000";"HUF_mu-f_xero";"0"
"0001.0000000";"HUF_mu-l_hydro";"0"
"0001.0000000";"HUF_mu-l_norm";"0"
