NAISTYP_SORT; NAISTYP_C; NAISTYP_LAT; NAISTYP_NWLD; NAISTYP_HDOM_MIN; NAISTYP_HDOM_MAX; NAISTYP_HMAX_NAD; NAISTYP_HMAX_LAU; NAISTYP_BEM4; NAISTYP_STAO; NAISTYP_VASP; NAISTYP_HUMF; NAISTYP_ENT; NAISTYP_EIG; NTYP_KG_FEIN; NTYP_KG_GESTEIN; NAISTYP_KG_V; NAISTYP_KG_T_MIN; NAISTYP_KG_T_MAX; NTYP_AM_S; NTYP_AM_B; NTYP_RT_MITTELH; NTYP_RT_MULDE; NTYP_RT_KUPPE; NTYP_RT_PLATEAU; NTYP_RT_STEILH; NTYP_FELS; NTYP_BL_FELS_ST; NTYP_BL_FELS_WE; NTYP_BL_KARREN; NTYP_BL_SCHUTT_M; NTYP_BL_SCHUTT_S; NTYP_BL_SCHUTT_X; NTYP_STEINSCHLAG; NTYP_LAWINEN; NTYP_RUTSCHUNG; NTYP_EROSION; NTYP_WASS_BACH; NTYP_WASS_KLEIN; NTYP_WASS_QUELL; NTYP_WECHSELF; NAISTYP_GFX
1;1;Luzulo sylvaticae-/L. niveae-Fagetum typicum;"Mässig wüchsiger Buchenwald; oft reine Buchenbestände; aber häufig auch Traubeneichen und/oder Waldföhren beigemischt. 
";20;30;0;0;;"Kuppen und flache Hügelrücken über kalkarmem oder tiefgründig ausgewaschenem Muttergestein
";"Sträucher oft fehlend; Bodenvegetation oft lückig und artenarm. Oft Moosteppich.
";Moder;"Stark saure Braunerde und Parabraunerde; teilweise vernässt
";"Gründigkeit tief; biologische Aktivität stark eingeschränkt; Durchlässigkeit mittel. Keine Vernässung bis schwach pseudovergleyt.
";0;0;9;85;;1;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
10.001;10a   ;Pulmonario-/ Lathyro-Fagetum melittetosum;"Buchenwald in dem Waldföhre und fast alle Laubbäume beigemischt sein können. Die Lärche ist im Mittelland und Jura wenig geeignet; in den kontinentaler geprägten Gebieten (2a und angerenzend) gedeiht sie gut. 
";18;28;30;28;;"Flache und steile Hänge; trockene Lagen; Kalk
";"Krautreich bis lückig. Oft Seggen- und Grasrasen.
";Mull (Kalkmull);"Rendzina; Pararendzina manchmal etwas verbraunt
";"Skelettgehalt hoch; Gründigkeit tief; biologische Aktivität durch Trockenheit eingeschränkt; Durchlässigkeit mittel; keine Vernässung
";9;1;1;;55;0;1;1;2;2;2;1;2;0;2;2;2;0;1;2;0;0;0;0;0;0;0;10a
10.014;10w   ;"Pulmonario-/ Lathyro-Fagetum melittetosum; Carex flacca-Variante";"Buchenwald in dem Waldföhre; teilweise Eibe. Fast alle Laubbäume können beigemischt sein. 
";18;28;30;28;;"Flache und steile Hänge; meist Mergel
";"Krautreich bis lückig. Oft Seggen- und Grasrasen. Häufig kriechender Liguster.
";"Mull (Kalkmull); teilweise trockenen Ausprägung";"Rendzina; Pararendzina manchmal etwas verbraunt
";"Skelettgehalt hoch; kalkreich; Gründigkeit tief; biologische Aktivität durch Trockenheit eingeschränkt; wechselnder Bodenwasserhaushalt; Durchlässigkeit mittel bis gering; schwach pseudovergleyt bis keine Vernässung
";9;1;1;;30;0;1;1;2;2;2;1;2;0;2;0;2;0;1;2;0;1;1;0;0;0;1;10w
11;11;Aro-Fagetum;"Mischwald mit dominierender Buche; Bergahorn und Esche; Stieleiche; Kirschbaum. Gerade Stämme.
";30;40;45;40;;"Hangfuss- und Tallagen; Kalk
";"Krautig. Oft dominiert de Bärlauch; er kann aber auch fehlen.
";"Mull; teilweise feuchte Ausprägung";"Rendzina; Regosol oder Braunerde; alle leicht vernässt
";"Gründigkeit sehr tief; biologische Aktivität hoch; Wurzelraum für Buchen noch genügend durchlüftet; Durchlässigkeit mittel; schwach bis sehr schwach pseudovergleyt oder grundnass bis schwach grundnass. 
";9;1;1;;200;0;1;2;1;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;11
12;12*   ;Cardamino-Fagetum insubricum sl.;"Mittelwüchsiger bis wüchsiger Buchenwald; mit einzelnen Ahornen; Ulmen; Linden; Hopfenbuche; Mehlbeere; Vogelbeere und Stechpalme. Evt. ist potentiell auch Tanne vorhanden
";15;25;28;25;;"Schattenhänge; Hangfusslagen oder tiefgründige; schattige Standorte
";"Krautig; saftig grün oder viel Buchenstreu; mit Haselsträuchern; Farnen und nährtstoffliebenden Arten. Durch Rehverbiss und Lichtmangel sind verarmte Bodenvegetationsbilder häufig.
";Mull (Kalkmull) bis Mull-Moder;"Rendzina; stellenweise verbraunt
";"Skelettreich; mittel- bis tiefgründig; durchlässig; keine Vernässung
";9;1;9;;;0;1;1;1;0;2;2;0;0;1;0;2;0;2;2;0;0;0;0;0;0;0;12Stern
12.009;12*h  ;Cardamino-Fagetum veratretosum;"Mässig wüchsiger Buchenwald; mit einzelnen Bergahorn; Vogelbeere; Mehlbeere. Evt. sind potentiell auch Tanne und Lärche vorhanden
";12;22;25;22;;"Hanglagen auf Kalk (Trias; Lias); meidet stark besonnte Hänge
";"Zahnwurz und montane Arten dominieren
";"Mull; stellenweise Moder; teilweise trockene Ausprägung";"Rendzina; stellenweise verbraunt
";"Skelettreich; mittel bis tiefgründig; durchlässig; keine Vernässung
";9;1;;;;0;1;1;1;0;2;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;12Sternh
12.00012;12S   ;Mercuriali-/Cardamino-Fagetum circaetosum / allietosum;"Sehr wüchsiger Mischwald mit Buche; beigemischter Tanne; Bergahorn und Esche; kaum Eiche; Hagebuche; Kirschbaum in Baumschicht. 
";30;40;45;40;;"Lagen an Schattenhängen; Kalk
";"Krautreich. Oft viele Farne.
";Mull;"Rendzina; Pararendzina; Regosol; Braunerde; Parabraunerde; alle leicht vernässt
";"Skelettgehalt mittel bis hoch; Gründigkeit sehr tief; kalkreich; biologische Aktivität hoch; Durchlässigkeit mittel bis gering; pseudovergleyt bis sehr schwach pseudovergleyt oder grundnass bis schwach grundnass
";9;1;1;;170;0;1;2;1;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;12S
12.001;12a   ;Mercuriali-/Cardamino-Fagetum typicum;"Wüchsiger Buchenwald; oft Hallenwald. Tanne; Ahorn und Esche können beigemischt sein. Eiche; Hagebuche; Kirschbaum kaum in Baumschicht. Die Lärche ist im Mittelland und Jura wenig geeignet; in den kontinentaler geprägten Gebieten (2a und angerenzend) gedeiht sie gut. 
";30;35;42;38;;"Hanglagen; meist auf stabilisiertem Kalkschutt
";"Krautig. Oft dominieren Fiederblättrige Zahnwurz oder Bingelkraut; manchmal Farne.
";Mull (Kalkmull);"Rendzina; Pararendzina; Regosol; Braunerde; Parabraunerde
";"Skelettgehalt hoch bis sehr hoch; Gründigkeit tief bis sehr tief; biologische Aktivität hoch; Durchlässigkeit mittel; keine Vernässung
";9;1;1;;50;0;1;1;2;0;2;1;2;0;2;2;2;0;1;2;0;0;2;0;0;0;0;12a
12.005;12e   ;Mercuriali-/Cardamino-Fagetum caricetosum albae;"Mässig wüchsiger Buchenwald mit Mehlbeere; Waldföhre und teilweise Eibe; kaum Eiche; Hagebuche; Kirschbaum in Baumschicht; für Tanne trocken. Die Lärche ist im Mittelland und Jura wenig geeignet; in den kontinentaler geprägten Gebieten (2a und angerenzend) gedeiht sie gut. 
";18;25;30;28;;"Trockene Hanglagen; v. a. südexponiert; Kalk
";"Oft Seggen- und Grasrasen.
";"Mull; (Kalkmull); stellenweise trockene Ausprägung";"Rendzina; Pararendzina; Regosol; Braunerde
";"Skelettgehalt hoch; Gründigkeit tief; kalkreich; Durchlässigkeit mittel; keine Vernässung
";9;1;1;;25;0;2;1;0;2;2;2;2;0;2;2;2;0;1;2;0;0;0;0;0;0;0;12e
12.014;12w   ;Mercuriali-/Cardamino-Fagetum caricetosum flaccae;"Buchenwald mit Bergahorn; Sommerlinde und teilweise Eibe. 
";20;30;32;30;;"Hänge mit mässig bewegtem Kalkschutt; meist Mergel; Nord- (submontan) bis Süd-Exposition
";"Oft Seggen- und Grasrasen. Häufig kriechende Liguster.
";"Mull (Kalkmull); stellenweise trockene oder feuchte Ausprägung";"Rendzina; Pararendzina; Regosol; Braunerde; stellenweise vernässt
";"Wechselfeucht bis wechseltrocken; Skelettgehalt hoch; Gründigkeit tief bis sehr tief; kalkreich; biologische Aktivität hoch; Durchlässigkeit mittel bis gering; schwach pseudovergleyt bis keine Vernässung
";9;1;1;;10;0;1;1;2;2;2;1;2;0;2;0;2;0;1;2;0;1;1;0;0;0;1;12w
