NAISTYP_SORT; NAISTYP_C; ART; SISF_NR; VORH
"0001.0000000";"1      ";"B";"0000100";"3"
"0001.0000000";"1      ";"B";"0000300";"0"
"0001.0000000";"1      ";"B";"0000600";"0"
"0001.0000000";"1      ";"B";"0000700";"0"
"0001.0000000";"1      ";"B";"0000800";"0"
"0001.0000000";"1      ";"B";"0009500";"3"
"0001.0000000";"1      ";"B";"0025200";"0"
"0001.0000000";"1      ";"B";"0025300";"0"
"0001.0000000";"1      ";"B";"0025400";"0"
"0001.0000000";"1      ";"B";"0060400";"2"
"0001.0000000";"1      ";"B";"0096900";"2"
"0001.0000000";"1      ";"B";"0097200";"2"
"0001.0000000";"1      ";"B";"0165000";"1"
"0001.0000000";"1      ";"B";"0174200";"0"
"0001.0000000";"1      ";"B";"0213300";"3"
"0001.0000000";"1      ";"B";"0217500";"0"
"0001.0000000";"1      ";"B";"0227200";"3"
"0001.0000000";"1      ";"B";"0287100";"0"
"0001.0000000";"1      ";"B";"0302800";"3"
"0001.0000000";"1      ";"B";"0304900";"0"
"0001.0000000";"1      ";"B";"0305800";"0"
"0001.0000000";"1      ";"B";"0306100";"2"
"0001.0000000";"1      ";"B";"0317100";"0"
"0001.0000000";"1      ";"B";"0317300";"0"
"0001.0000000";"1      ";"B";"0317500";"3"
"0001.0000000";"1      ";"B";"0328400";"0"
"0001.0000000";"1      ";"B";"0330600";"3"
"0001.0000000";"1      ";"B";"0335900";"3"
"0001.0000000";"1      ";"B";"0336000";"0"
"0001.0000000";"1      ";"B";"0336100";"0"
"0001.0000000";"1      ";"B";"0336200";"3"
"0001.0000000";"1      ";"B";"0346500";"3"
"0001.0000000";"1      ";"B";"0362800";"0"
"0001.0000000";"1      ";"B";"0363700";"3"
"0001.0000000";"1      ";"B";"0402200";"3"
"0001.0000000";"1      ";"B";"0402300";"3"
"0001.0000000";"1      ";"B";"0402500";"0"
"0001.0000000";"1      ";"B";"0402700";"0"
"0001.0000000";"1      ";"B";"0413600";"3"
"0001.0000000";"1      ";"B";"0421400";"3"
"0001.0000000";"1      ";"B";"0421500";"0"
"0001.0000000";"1      ";"B";"0432800";"0"
"0001.0000000";"1      ";"K";"0033600";"0"
"0001.0000000";"1      ";"K";"0055700";"2"
"0001.0000000";"1      ";"K";"0057400";"1"
"0001.0000000";"1      ";"K";"0064200";"0"
