NAISTYP_SORT; NAISTYP_C; NAISTYP_S20; NAISTYP_NAME_LAT; NAISTYP_NAME_DEU; NAISTYP_NAMK_DEU; NAISTYP_NAME_FRZ; NAISTYP_NAMK_FRZ; NTYP_C_ANHANG2A; NTYP_C_BSCHR_SEP; NTYP_C_BSCHR_TI; NTYP_W_B_ETAP1; NTYP_W_B_ETAP2; NTYP_G_P_ETAP1; NTYP_G_P_ETAP2; NTYP_BS_ETAP1; NTYP_BS_ETAP2; NTYP_SSKSMS_ETA1; NTYP_SSKSMS_ETA2; NTYP_DELARZE08; NTYP_C_ABGES; NTYP_C_GFX_ORT; NTYP_C_GFX_BODEN; NAISTYP_GFX; NAISTYP_WGES; NAISTYP_ANFP; NAISTYP_GFK; NAISTYP_GFEI; NAISTYP_GRB; NAISTYP_ANFP_05; NAISTYP_BEM; NTYP_NATP_ABK; NTYP_NATP_BED
1;1;Y;Luzulo sylvaticae-/L. niveae-Fagetum typicum;Typischer Hainsimsen-Buchenwald;Typischer Hainsimsen-Bu-Wald;Hêtraie à  Luzule des forêts typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;1;Typischer Hainsimsen-Bu-Wald;1 2;BUSM;Buche submontan mittel;Buchenwälder;;"neues Anforderungsprofil; 7a 9a 9w mit Waldföhre; Traubeneiche";1;"Submontan; untermontan"
1.009;1h     ;Y;"Luzulo-Abieti-Fagetum; artenarme Ausbildung";Artenarmer Waldsimsen-Tannen-Buchenwald;Artenarmer Waldsimsen-Ta-Bu-Wald;"Hêtraie à  Luzule des forêts typique; var. d'altitude";;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;1h;Artenarmer Waldsimsen-Ta-Bu-Wald;1h;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;1h;;1;Obermontan
2;2;Y;Luzulo-Fagetum leucobryetosum;Hainsimsen-Buchenwald mit Weissmoos;Hainsimsen-Bu-Wald mit Weissmoos;Hêtraie à  Luzule des forêts avec Leucobryum;;;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;2;Hainsimsen-Buchenwald mit Weissmoos;1 2;BUSM;Buche submontan mittel;Buchenwälder;;"neues Anforderungsprofil; 7a 9a 9w mit Waldföhre; Traubeneiche";2;
3;3;Y;Luzulo niveae-Fagetum typicum;Typischer Schneesimsen-Buchenwald;Typischer Schneesimsen-Bu-Wald;Hêtraie à  Luzule blanc-de-neige typique;;x;;;Y;;Y;;Y;;Y;;;;x;x;3;Typischer Schneesimsen-Bu-Wald;3;EIBU;Eiche-Buche;Buchenwälder;3;;3;Mit einzelen Trockenheitszeigern 
3.000001;3s     ;Y;"Luzulo niveae-Fagetum; trockene Ausbildung";Trockener Schneesimsen-Buchenwald;Trockener Schneesimsen-Bu-Wald;Hêtraie à  Luzule blanc-de-neige sur sol sec;;;;x;Y;;Y;;Y;;Y;;;;x;x;3s;Trockener Schneesimsen-Bu-Wald;3s;EIBU;Eiche-Buche;Buchenwälder;;"neues Anforderungsprofil 3(42). Im Klimax Bu; einzelne Traubeneichen; praktisch keine Ta; Fi. Max. Baumhöhe << 15 m";3;Mit vielen Trockenheitszeigern
3.00015;3LV    ;Y;"Ilici-Fagetum typicum; nährstoffarme Ausbildung";Nährstoffarmer Buchenwald mit Stechpalme;Nährstoffarmer Bu-Wald mit Stechpalme;Hêtraie oligotrophe à  Houx;;x 3VL;;;Y;;Y;;Y;;Y;;;;x;;3LV;Nährstoffarmer Bu-Wald mit Stechpalme;3LV;EIBU;Eiche-Buche;Buchenwälder;3VL;;3*;Mit Vaccinium myrtillus
3.01;3L/4L  ;Y;Ilici-Fagetum typicum und dryopteridetosum;Mesophiler Buchenwald mit Stechpalme;Mesophiler Bu-Wald mit Stechpalme;Hêtraie mésotrophe à  Houx;;x 3mL-4L;;;Y;;Y;;Y;;Y;;;;x;x;3L_4L;Mesophiler Bu-Wald mit Stechpalme;3L/4L;EIBU;Eiche-Buche;Buchenwälder;3mL-4L;3mL-4L;3*;Ohne Vaccinium myrtillus
3.1;3*/4*  ;Y;Rhododendro-Fagetum;Alpenrosen-Buchenwald;Alpenrosen-Bu-Wald;Hêtraie à  Rhododendron;;;;x;Y;;Y;;Y;;Y;;;;x;;3Stern;Typischer Alpenrosen-Bu-Wald;3* 4*;EIBU;Eiche-Buche;Buchenwälder;;neues Anforderungsprofil 3(47*);3**;
4;4;Y;Luzulo niveae-Fagetum dryopteridetosum;Farnreicher Schneesimsen-Buchenwald;Farnreicher Schneesimsen-Bu-Wald;Hêtraie à  Luzule blanc-de-neige riche en fougères;;x;;;Y;;Y;;Y;;Y;;;;x;x;4;Farnreicher Schneesimsen-Bu-Wald;4;BUTA;Buche-Tanne ;Buchenwälder;4;;4;
6;6;Y;Galio odorati-Fagetum luzuletosum;Waldmeister-Buchenwald mit Hainsimse;Waldmeister-Bu-Wald mit Hainsimse;Hêtraie à  Aspérule avec Luzule des forêts;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;6;Waldmeister-Bu-Wald mit Hainsimse;6 7a 9a 9w;BUSM;Buche submontan mittel;Buchenwälder;;Anforderungsprofil von 7a;6;Ohne anstehendem  Fels
6.000003;6Fe    ;Y;"Galio odorati-Fagetum luzuletosum; Ausbildung auf Fels";Waldmeister-Buchenwald mit Hainsimse auf Fels;Waldmeister-Bu-Wald mit Hainsimse auf Fels;Hêtraie à  Aspérule avec Luzule des forêts sur rochers;;;;;;;;;;;;;;;x;;6Fe;Waldmeister-Bu-wald mit Hainsimse auf Fels;6 7a 9a 9w;BUSM;Buche submontan mittel;Buchenwälder;;;6;Mit anstehendem Fels
7.00012;7S     ;Y;Galio-Fagetum stachyetosum sylvaticae;Feuchter Waldmeister-Buchenwald;Feuchter Waldmeister-Bu-Wald;Hêtraie à  Aspérule avec Épiaire des forêts;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;7S;Feuchter Waldmeister-Bu-Wald;7S 11;BUF;Buche feucht;Buchenwälder;7S 11;;7;"Mit Feuchtezeigern; ohne Säurezeiger; ohne anstehendem Fels"
7.000123;7SFe   ;Y;"Galio-Fagetum stachyetosum sylvaticae; Ausbildung auf Fels";Feuchter Waldmeister-Buchenwald auf Fels;Feuchter Waldmeister-Bu-Wald auf Fels;Hêtraie à  Aspérule avec Épiaire sur rochers;;;;;;;;;;;;;;;x;;7SFe;Feuchter Waldmeister-Bu-Wald auf Fels;7S 11;BUF;Buche feucht;Buchenwälder;;;7;"Mit Feuchtezeigern; ohne Säurezeiger; mit anstehendem Fels"
7.001;7a     ;Y;Galio-Fagetum typicum;Typischer Waldmeister-Buchenwald;Typischer Waldmeister-Bu-Wald;Hêtraie à  Aspérule typique;;x;;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;7a;Typischer Waldmeister-Bu-Wald;6 7a 9a 9w;BUSM;Buche submontan mittel;Buchenwälder;7a 9a 9w;;7;"Ohne Feuchtezeiger; ohne Säurezeiger;  ohne anstehendem Fels"
7.001003;7aFe   ;Y;"Galio-Fagetum typicum; Ausbildung auf Fels";Typischer Waldmeister-Buchenwald auf Fels;Typischer Waldmeister-Bu-Wald auf Fels;Hêtraie à  Aspérule typique sur rochers;;;;;;;;;;;;;;;x;;7aFe;Typischer Waldmeister-Bu-Wald auf Fels;6 7a 9a 9w;BUSM;Buche submontan mittel;Buchenwälder;;;7;"Ohne Feuchtezeiger; ohne Säurezeiger;  mit anstehendem Fels"
7.002;7b     ;Y;Galio-Fagetum caricetosum remotae;Waldmeister-Buchenwald mit Lockerähriger Segge;Waldmeister-Bu-Wald mit Lockerähriger Segge;Hêtraie à  Aspérule avec Laiche à  épis espacés ;;;;;;;;;;;;;;;x;;7b;Typischer Waldmeister-Buchenwald mit Lockerähriger Segge;7b;BUSM;Buche submontan mittel;Buchenwälder;;neues Anforderungsprofil;7;"Mit Feuchtezeigern; mit Säurezeiger"
7.1;7*     ;Y;Galio-Fagetum blechnetosum;Waldmeister-Buchenwald mit Rippenfarn;Waldmeister-Bu-Wald mit Rippenfarn;Hêtraie à  Aspérule avec Blechnum;;;x;;Y;Y;Y;Y;Y;Y;Y;Y;;;x;x;7Stern;Waldmeister-Bu-Wald mit Rippenfarn;7* 8*;TABUM;Tanne-Buche mittel;Tannen-Buchenwälder;;;7*;
