regions;heightLevel;forestType;slope;condition;targets;tannenareal;standortsregion;relief;targetHeight
R,J,M,1,2,3 osa bis co;obersubalpin;59;> als 60% ;Boden normal;57C;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59;> als 60% ;Boden normal;57C;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59;< als 60% ;Boden normal;57V;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59;< als 60% ;Boden normal;57V;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59Lä;> als 60% ;Boden normal;57CLä;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59Lä;> als 60% ;Boden normal;57CLä;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59Lä;< als 60% ;Boden normal;57VLä;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59Lä;< als 60% ;Boden normal;57VLä;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59;< als 60% ;extrem blockig;57Bl;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59;> als 60% ;extrem blockig;57Bl;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59A;;normal;60;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59A;;bei Lawinenzug;60Lä;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59C;;;58Bl;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59E;;;53*s;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59H;;;57VM;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;;;;57VM;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59L;;;58L;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59LLä;;;58LLä;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59R;;;59R;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59V;;;57M;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59VLä;> als 60% ;;57CLä;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;59VLä;< als 60% ;;57VLä;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;67;;;67;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;;;;67;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;69;;;69;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;70;;;70;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;71;;;71;;;;subalpin
R,J,M,1,2,3 osa bis co;obersubalpin;AV;;;AV;;;;subalpin
R,J,M,1,2,3 osa bis co;subalpin;57C;;;55;Reliktareal;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57C;;;51;Haupt- oder Nebenareal;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57V;;normal;46M;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57V;;Boden verdichtet;46;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57CLä;;;55;Reliktareal ;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57CLä;;;51;Haupt- oder Nebenareal;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57VLä;;normal;46M;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57VLä;;Boden verdichtet;46;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57Bl;;normal;48;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57Bl;;normal;48;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57Bl;;schattig, kühl, grosse Blöcke;57Bl;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57BlTa;;;48;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60;;;50;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60Lä;;;50;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;58Bl;;normal;47H;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;58Bl;;trocken, extrem blockig, kühl;58Bl;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;53*s;;;53*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57VM;;;51;Haupt- oder Nebenareal;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57VM;;;51Re;Reliktareal;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;58L;;;55*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;58LLä;;;55*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;59R;;;59R;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57M;;;55;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57CLä;;;55;Reliktareal ;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57CLä;;;51;Haupt- oder Nebenareal;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57VLä;;normal;46M;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57VLä;;Boden verdichtet;46;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;67;;;67;;M, J, 1;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;67;;;65*;;2, 3;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;69;;;69;;M, J, 1;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;69;;;65;;2, 3;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;70;;;70;;M, J, 1;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;70;;;68;;2;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;70;;;68*;;3;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;71;;;71;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;AV;;;50;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;23;;;23;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;24*;;;24*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;27*;;;27*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;32S;;;32V;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;49*;;;49*Ta;Haupt- und Nebenareal;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;49*;;;49*;Reliktareal;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;53;;;53Ta;;M, J, 1, 2a;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;53;;;53*;;2b, 3;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;53Ta;;;53Ta;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;53Lä;;;53Lä;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;53A;;;52;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;57S;;;46*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;58;;;55*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;58Lä;;;55*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;58C;;;55*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60A;;;50;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60ALä;;;50;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60E;;;49;;M, J, 1, 2a;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60E;;;49*;;2b, 3;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60*;> 70%;;60*Ta;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60*;< 70%;;50*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60*Lä;> 70%;;60*Lä;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60*Lä;< 70%;;50*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60*Ta;> 70%;;60*Ta;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;60*Ta;< 70%;;50*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;72;;;57Bl;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;72Lä;;;57Bl;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;66PM;;;32V;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;67*;;;65*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;47*;;;47*;;;;hochmontan
R,J,M,1,2,3 osa bis co;subalpin;47*Lä;;;47*;;;;hochmontan
R,J,M,1,2,3 osa bis co;hochmontan;55;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51;;;18;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46M;;;1h;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46;< 20%;;46;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46;> 20%;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;55;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51;;;18;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46M;;;1h;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46;< 20%;;46;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46;> 20%;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;48;;normal;22;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;48;;normal;22;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;48;;schattig, kühl;48;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;57Bl;;normal;48;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;57Bl;;schattig, kühl, grosse Blöcke;57Bl;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;48;;;22;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;50;;;20;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;50;;;20;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;47H;;;47H;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;58Bl;;;48;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;53*;;;53Ta;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51;;;18;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51Re;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51Re;;;18;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;55*;;;1h;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;55*;;;1h;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;59R;;;48;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;55;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;55;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51;;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;51;;;18;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46M;;;1h;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46;< 20%;;46;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;46;> 20%;;19;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;67;;;65;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;65*;;;65*;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;69;;;65;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;65;;;65;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;70;;;68;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;68;;;68;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;68*;;;68;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;71;;;71;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;50;;;20;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;AV;;;20;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;23;;;23;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;24*;;;24*;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;27*;< 20%;;27h;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;27*;> 20%;;26h;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;32V;;;32V;;;;obermontan
R,J,M,1,2,3 osa bis co;hochmontan;49*Ta;< 20%;;27h;;;;obermontan
