profile;id;x;y;w;h;r;ox;oy;z;f
ch;1;442;942;342;56;;;;1;44
ch;1;466;871;128;60;;;;1;30
ch;1;580;369;128;116;;;;1;35A
ch;1;823;107;128;79;;;;1;25e
ch;1;434;194;128;116;;;;1;35
ch;1;525;101;248;85;;;;1;39,39*,40*
ch;1;242;103;247;83;;;;1;41
ch;1;14;65;215;126;;;;1;41*
ch;10;47;864;129;116;;;;1;45
ch;10;442;941;342;55;;;;1;44
ch;10;467;867;128;63;;;;2;30
ch;10;440;866;452;71;;;;1;27
ch;10;441;781;450;79;;;;1;26
ch;10;725;579;159;163;;;;1;12S
ch;10;435;579;159;163;;;;1;8S
ch;10;258;604;129;115;;;;2;8b
ch;10;136;537;153;188;;;;1;4
ch;10;45;502;147;208;;;;2;8*
ch;10;254;349;129;200;2;;;2;8d,8dFe
ch;10;432;433;129;116;2;;;1;8a,8aFe
ch;10;117;320;103;175;;;;1;3
ch;10;47;271;100;211;;;;2;1
ch;10;20;201;129;67;;;;1;2
ch;10;12;62;215;125;;;;1;68,41*
ch;10;727;436;129;124;3;;;1;12a,12aFe,12aG
ch;10;865;416;128;157;2;;;1;13a,13aFe
ch;10;727;313;129;116;;;;1;12e
ch;10;860;257;129;115;;;;1;13e
ch;10;725;216;128;93;2;;;1;14,14G
ch;10;435;194;128;116;;;;1;15
ch;10;723;149;129;63;;;;2;16
ch;10;520;107;205;82;;;;4;40*
ch;10;725;42;129;96;;;;2;65
ch;11;0;902;129;98;2;;;1;71,71G
ch;11;18;837;128;66;;;;2;56
ch;11;18;742;156;99;;;;1;46*
ch;11;18;544;197;197;;;;2;46
ch;11;252;868;128;115;;;;1;49
ch;11;441;867;449;71;;;;1;27h,27hG
ch;11;446;790;127;62;;;;2;29h
ch;11;441;780;449;81;;;;1;26h,26hG
ch;11;811;644;132;76;;;;1;21,21G
ch;11;256;634;129;115;;;;1;19f
ch;11;457;665;251;71;;;;2;20E,20EG
ch;11;434;580;296;162;;;1;1;20,20Fe,20G
ch;11;863;414;129;159;3;;;1;13h,13hFe,13hG
ch;11;728;434;127;118;2;;;1;18M,18MG
ch;11;432;424;128;129;3;;;1;18,18Fe,18G
ch;11;254;349;154;203;3;;;1;19,19Fe,19G
ch;11;25;229;154;252;;;;1;1h
ch;11;859;256;128;115;;;;1;13eh
ch;11;575;215;278;134;;;;1;18*,18*G
ch;11;728;43;127;96;;;;1;65
ch;11;15;57;115;125;;;;1;68
ch;12;0;900;129;100;2;;;1;71,71G
ch;12;18;833;128;67;;;;2;56
ch;12;18;740;157;99;;;;1;46*
ch;12;18;542;198;197;;;;2;46
ch;12;252;866;128;115;;;;1;49
ch;12;440;865;450;71;;;;1;27h
ch;12;440;779;450;80;;;;1;26h,26hG
ch;12;455;665;252;71;;;;2;20E,20EG
ch;12;260;638;128;116;;;;1;19f
ch;12;434;578;297;162;;;1;1;20,20Fe,20G
ch;12;863;413;129;158;2;;;1;13h,13hG
ch;12;727;434;128;116;2;;;1;18M,18MG
ch;12;431;425;129;125;3;;;1;18,18Fe,18G
ch;12;254;348;158;200;4;;;1;19,19L,19Fe,19G
ch;12;27;228;154;253;;;;1;1h
