profile;forestEcoregion;altitudinalZone;silverFirArea;ecogramId
ch;M;20;unknown;1
ch;J;20;unknown;1
ch;1;20;unknown;1
ch;2a;50;unknown;10
ch;2b;50;unknown;10
ch;M;60;unknown;11
ch;J;60;unknown;11
ch;1;60;unknown;11
ch;2a;60;unknown;12
ch;2b;60;unknown;12
ch;5a;70;unknown;13
ch;5b;70;unknown;13
ch;M;80;unknown;14
ch;J;80;unknown;14
ch;1;80;unknown;14
ch;2a;80;unknown;15
ch;2b;80;1;16
ch;2b;80;2;16
ch;2b;80;3;17
ch;3;80;3;18
ch;4;80;1;19
ch;4;80;2;19
ch;2a;20;unknown;2
ch;2b;20;unknown;2
ch;4;80;3;20
ch;5a;80;unknown;21
ch;1;90;unknown;22
ch;2a;90;unknown;22
ch;2b;90;unknown;22
ch;3;90;unknown;22
ch;4;90;unknown;23
ch;4;100;unknown;24
ch;5a;90;unknown;25
ch;5a;100;unknown;25
ch;5b;90;unknown;25
ch;5b;100;unknown;25
ch;1;100;unknown;26
ch;2a;100;unknown;27
ch;2b;100;unknown;27
ch;3;100;unknown;27
ch;4;20;unknown;3
ch;5a;20;unknown;4
ch;5a;30;unknown;4
ch;5b;20;unknown;4
ch;5b;30;unknown;4
ch;5a;10;unknown;5
ch;5b;10;unknown;5
ch;Me;10;unknown;6
ch;Me;30;unknown;6
ch;M;40;unknown;7
ch;J;40;unknown;7
ch;1;40;unknown;7
ch;2a;40;unknown;8
ch;M;50;unknown;9
ch;J;50;unknown;9
ch;1;50;unknown;9
lu;M;60;unknown;11
lu;J;60;unknown;11
lu;1;60;unknown;11
lu;M;80;unknown;14
lu;J;80;unknown;14
lu;1;80;unknown;14
lu;1;90;unknown;22
lu;2a;90;unknown;22
lu;2b;90;unknown;22
lu;3;90;unknown;22
lu;M;40;unknown;7
lu;J;40;unknown;7
lu;1;40;unknown;7
lu;M;50;unknown;9
lu;J;50;unknown;9
lu;1;50;unknown;9
bl;M;20;unknown;1
bl;J;20;unknown;1
bl;1;20;unknown;1
bl;2a;50;unknown;10
bl;2b;50;unknown;10
bl;M;60;unknown;11
bl;J;60;unknown;11
bl;1;60;unknown;11
bl;2a;60;unknown;12
bl;2b;60;unknown;12
bl;5a;70;unknown;13
bl;5b;70;unknown;13
bl;M;80;unknown;14
bl;J;80;unknown;14
bl;1;80;unknown;14
bl;2a;80;unknown;15
bl;2b;80;1;16
bl;2b;80;2;16
bl;2b;80;3;17
bl;3;80;3;18
bl;4;80;1;19
bl;4;80;2;19
bl;2a;20;unknown;2
bl;2b;20;unknown;2
bl;4;80;3;20
bl;5a;80;unknown;21
bl;1;90;unknown;22
bl;2a;90;unknown;22
bl;2b;90;unknown;22
bl;3;90;unknown;22
bl;4;90;unknown;23
bl;4;100;unknown;24
bl;5a;90;unknown;25
bl;5a;100;unknown;25
bl;5b;90;unknown;25
bl;5b;100;unknown;25
bl;1;100;unknown;26
bl;2a;100;unknown;27
bl;2b;100;unknown;27
bl;3;100;unknown;27
bl;4;20;unknown;3
bl;5a;20;unknown;4
bl;5a;30;unknown;4
bl;5b;20;unknown;4
bl;5b;30;unknown;4
bl;5a;10;unknown;5
bl;5b;10;unknown;5
bl;Me;10;unknown;6
bl;Me;30;unknown;6
bl;M;40;unknown;7
bl;J;40;unknown;7
bl;1;40;unknown;7
bl;2a;40;unknown;8
bl;M;50;unknown;9
bl;J;50;unknown;9
bl;1;50;unknown;9
