custom_forest_type_code;forest_type_code;latin;german
N0001.0000000;1;Luzulo sylvaticae-/L. niveae-Fagetum typicum;Typischer Hainsimsen-Bu-Wald
N0001.0090000;1h;"Luzulo-Abieti-Fagetum; artenarme Ausbildung";Artenarmer Waldsimsen-Ta-Bu-Wald
N0002.0000000;2;Luzulo-Fagetum leucobryetosum;Hainsimsen-Bu-Wald mit Weissmoos
N0003.0000000;3;Luzulo niveae-Fagetum typicum;Typischer Schneesimsen-Bu-Wald
N0003.0000010;3s;"Luzulo niveae-Fagetum; trockene Ausbildung";Trockener Schneesimsen-Bu-Wald
N0003.0001500;3LV;"Ilici-Fagetum typicum; nährstoffarme Ausbildung";Nährstoffarmer Bu-Wald mit Stechpalme
N0003.0100000;3L/4L;Ilici-Fagetum typicum und dryopteridetosum;Mesophiler Bu-Wald mit Stechpalme
N0003.1000000;3*/4*;Rhododendro-Fagetum;Alpenrosen-Bu-Wald
N0004.0000000;4;Luzulo niveae-Fagetum dryopteridetosum;Farnreicher Schneesimsen-Bu-Wald
N0006.0000000;6;Galio odorati-Fagetum luzuletosum;Waldmeister-Bu-Wald mit Hainsimse
N0006.0000030;6Fe;"Galio odorati-Fagetum luzuletosum; Ausbildung auf Fels";Waldmeister-Bu-Wald mit Hainsimse auf Fels
N0007.0001200;7S;Galio-Fagetum stachyetosum sylvaticae;Feuchter Waldmeister-Bu-Wald
N0007.0001230;7SFe;"Galio-Fagetum stachyetosum sylvaticae; Ausbildung auf Fels";Feuchter Waldmeister-Bu-Wald auf Fels
N0007.0010000;7a;Galio-Fagetum typicum;Typischer Waldmeister-Bu-Wald
N0007.0010030;7aFe;"Galio-Fagetum typicum; Ausbildung auf Fels";Typischer Waldmeister-Bu-Wald auf Fels
N0007.0020000;7b;Galio-Fagetum caricetosum remotae;Waldmeister-Bu-Wald mit Lockerähriger Segge
N0007.1000000;7*;Galio-Fagetum blechnetosum;Waldmeister-Bu-Wald mit Rippenfarn
N0008.0001200;8S;Milio-Fagetum stachyetosum sylvaticae;Feuchter Waldhirsen-Bu-Wald
N0008.0001230;8SFe;"Milio-Fagetum stachyetosum sylvaticae; Ausbildung auf Fels";Feuchter Waldhirsen-Bu-Wald auf Fels
N0008.0010000;8a;Milio-Fagetum typicum;Typischer Waldhirsen-Bu-Wald
N0008.0010030;8aFe;"Milio-Fagetum typicum; Ausbildung auf Fels";Typischer Waldhirsen-Bu-Wald auf Fels
N0008.0020000;8b;Milio-Fagetum caricetosum remotae;Waldhirsen-Bu-Wald mit  Lockerähriger Segge
N0008.0040000;8d;Milio-Fagetum luzuletosum;Waldhirsen-Bu-Wald mit Hainsimse
N0008.0040030;8dFe;"Milio-Fagetum luzuletosum; Ausbildung auf Fels";Waldhirsen-Bu-Wald mit Hainsimse auf Fels
N0008.1000000;8*;Milio-Fagetum blechnetosum;Waldhirsen-Bu-Wald mit Rippenfarn
