id;clnr;x;y;ip5areproz;ip50proz;custom_forest_type_code;custom_transition_forest_type_code;forest_type_code;transition_forest_type_code;altitudinal_zones_1995_code;altitudinal_zones_2085_less_dry_code;altitudinal_zones_2085_dry_code;forest_ecoregion_code;silver_fir_area_code
27889;6;2686000;1295009;42,40;47,20;N3000.0000000;;u;;50;40;20;J;1
27890;6;2686000;1295009;57,10;33,90;N0012.0010000;;12a;;50;40;20;J;1
27891;6;2686000;1295009;0,50;18,80;N0012.0140000;;12w;;50;40;20;J;1
27892;22;2685023;1293988;100,00;100,00;N0012.0010000;;12a;;60;40;20;J;1
27893;26;2686994;1293997;100,00;100,00;N0012.0010000;;12a;;50;40;20;J;1
27894;31;2690998;1293999;0,00;9,70;N3000.0000000;;u;;50;20;20;M;1
27895;31;2690998;1293999;100,00;90,30;N0007.0010000;N0010.0010000;7a;10a;50;20;20;M;1
27896;47;2686003;1293001;100,00;100,00;N0012.0010000;;12a;;50;40;20;J;1
27897;51;2688004;1293002;94,70;68,10;N0010.0010000;;10a;;50;40;20;J;1
27898;51;2688004;1293002;5,30;31,90;N0009.0010000;;9a;;50;40;20;J;1
27899;125;2678002;1291000;0,00;1,30;N0009.0010000;;9a;;50;40;20;J;1
27900;125;2678002;1291000;50,10;48,80;N0010.0010000;;10a;;50;40;20;J;1
27901;125;2678002;1291000;38,20;45,60;N0014.0000000;;14;;50;40;20;J;1
27902;125;2678002;1291000;11,70;4,30;N0014.0000000;;14;;50;40;20;J;1
27903;137;2683991;1290999;100,00;100,00;N0012.0010000;;12a;;60;40;20;J;1
27904;145;2688003;1291000;56,90;68,40;N3000.0000000;;u;;40;40;20;J;1
27905;145;2688003;1291000;43,10;31,60;N0014.0000000;;14;;40;40;20;J;1
27906;151;2692019;1291001;0,00;10,30;N0007.0001200;;7S;;50;20;20;M;1
27907;151;2692019;1291001;100,00;84,80;N0007.0010000;N0006.0000000;7a;6;50;20;20;M;1
27908;151;2692019;1291001;0,00;4,90;N0007.0010000;N0009.0010000;7a;9a;50;20;20;M;1
27909;203;2680994;1290004;6,70;31,30;N3003.0000000;;u-3;;40;20;20;J;1
27910;203;2680994;1290004;93,30;68,70;N0009.0010000;;9a;;40;20;20;J;1
27911;207;2683006;1289998;100,00;100,00;N0012.0010000;N0009.0010000;12a;9a;50;40;20;J;1
27912;211;2684999;1290000;100,00;100,00;N0012.0010000;;12a;;50;40;20;J;1
27913;290;2682006;1289001;4,80;28,50;N0009.0010000;;9a;;40;40;20;J;1
27914;290;2682006;1289001;74,70;59,00;N0010.0010000;;10a;;40;40;20;J;1
27915;290;2682006;1289001;20,60;12,50;N3001.0000000;;u-1;;40;40;20;J;1
27916;294;2684005;1288998;6,30;33,70;N0012.0001200;;12S;;50;40;20;J;1
27917;294;2684005;1288998;93,70;66,30;N0012.0010000;;12a;;50;40;20;J;1
27918;298;2686003;1289000;100,00;100,00;N0012.0010000;;12a;;50;40;20;J;1
27919;302;2688000;1289001;100,00;100,00;N0009.0010000;;9a;;50;40;20;J;1
27920;368;2681004;1288001;100,00;100,00;N0011.0000000;;11;;50;40;20;J;1
27921;372;2683007;1288004;0,00;13,30;N0012.0010000;;12a;;60;40;20;J;1
27922;372;2683007;1288004;100,00;86,70;N0012.0001200;;12S;;60;40;20;J;1
27923;384;2689002;1287998;100,00;100,00;N0009.0010000;;9a;;50;20;20;M;1
27924;392;2693001;1288001;100,00;100,00;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
27925;448;2680009;1286999;100,00;100,00;N0011.0000000;;11;;40;40;20;J;1
27926;452;2682001;1286996;0,00;5,80;N0012.0001200;N0012.0010000;12S;12a;50;40;20;J;1
27927;452;2682001;1286996;99,90;69,30;N0012.0001200;;12S;;50;40;20;J;1
27928;452;2682001;1286996;0,00;11,30;N0027.0000000;;27;;50;40;20;J;1
27929;452;2682001;1286996;0,10;9,00;N0012.0001200;N0012.0010000;12S;12a;50;40;20;J;1
27930;452;2682001;1286996;0,00;4,60;N0012.0010000;;12a;;50;40;20;J;1
27931;456;2683999;1287000;100,00;100,00;N0012.0050000;N0012.0010000;12e;12a;50;40;20;J;1
27932;460;2686004;1287007;77,40;60,90;N0009.0010000;;9a;;50;40;20;J;1
27933;460;2686004;1287007;22,60;39,10;N0007.0010000;;7a;;50;40;20;J;1
27934;464;2688007;1286999;72,50;28,50;N0011.0000000;;11;;50;20;20;M;1
27935;464;2688007;1286999;19,90;38,80;N0007.0010000;N0009.0010000;7a;9a;50;20;20;M;1
27936;464;2688007;1286999;7,50;32,70;N0026.0000000;;26;;50;20;20;M;1
27937;468;2689998;1287001;100,00;100,00;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
27938;476;2694002;1286997;21,30;33,50;N3000.0000000;;u;;40;20;20;M;1
27939;476;2694002;1286997;52,60;45,50;N0007.0010000;;7a;;40;20;20;M;1
27940;476;2694002;1286997;26,10;21,10;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
27941;544;2683005;1286000;97,60;78,40;N0012.0001200;;12S;;50;40;20;J;1
27942;544;2683005;1286000;2,40;9,00;N3001.0000000;;u-1;;50;40;20;J;1
27943;544;2683005;1286000;0,00;12,60;N0012.0001200;;12S;;50;40;20;J;1
27944;548;2685003;1285999;3,50;24,70;N0010.0010000;;10a;;40;40;20;J;1
27945;548;2685003;1285999;17,20;10,00;N3001.0000000;;u-1;;40;40;20;J;1
27946;548;2685003;1285999;79,30;65,20;N0010.0010000;;10a;;40;40;20;J;1
27947;552;2687008;1285998;100,00;100,00;N0009.0010000;;9a;;40;40;20;J;1
27948;556;2689001;1286003;100,00;64,20;N0009.0010000;;9a;;50;20;20;M;1
27949;556;2689001;1286003;0,00;35,80;N0011.0000000;;11;;50;20;20;M;1
27950;564;2692999;1286004;8,70;26,80;N0007.0010000;;7a;;40;20;20;M;1
27951;564;2692999;1286004;27,30;32,10;N0007.0010000;;7a;;40;20;20;M;1
27952;564;2692999;1286004;36,60;17,40;N3000.0000000;;u;;40;20;20;M;1
27953;564;2692999;1286004;27,30;19,80;N0007.0010000;;7a;;40;20;20;M;1
27954;564;2692999;1286004;0,00;3,80;N0007.0010000;;7a;;40;20;20;M;1
27955;572;2697003;1286008;0,00;9,30;N3000.0000000;;u;;40;20;20;M;1
27956;572;2697003;1286008;100,00;90,70;N0007.0010000;N0009.0010000;7a;9a;40;20;20;M;1
27957;636;2673999;1284997;25,10;37,80;N3000.0000000;;u;;-10;-10;-10;J;1
27958;636;2673999;1284997;56,30;28,70;N0013.0010000;;13a;;-10;-10;-10;J;1
27959;636;2673999;1284997;15,70;17,40;N0009.0010000;N0013.0010000;9a;13a;-10;-10;-10;J;1
27960;636;2673999;1284997;2,10;6,70;N0013.0010000;;13a;;-10;-10;-10;J;1
27961;636;2673999;1284997;0,70;6,90;N0010.0140000;;10w;;-10;-10;-10;J;1
27962;636;2673999;1284997;0,00;1,10;N3011.0000000;;u-11;;-10;-10;-10;J;1
27963;636;2673999;1284997;0,00;1,40;N3001.0000000;;u-1;;-10;-10;-10;J;1
27964;652;2682003;1285001;100,00;98,70;N0010.0010000;;10a;;40;40;20;J;1
27965;652;2682003;1285001;0,00;1,30;N3003.0000000;;u-3;;40;40;20;J;1
27966;656;2684001;1285002;100,00;100,00;N0012.0010000;N0009.0010000;12a;9a;50;40;20;J;1
27967;660;2685998;1285002;100,00;100,00;N0007.0010000;N0009.0010000;7a;9a;40;40;20;J;1
27968;664;2688002;1284999;100,00;100,00;N0009.0010000;;9a;;40;20;20;M;1
