X95,Y95,NAISTYP_heute,NAISTYP_maessKW,NAISTYP_starkKW,HOESTUF_heute,HOESTUF_maessKW,HOESTUF_starkKW,kat_empf,Baumart_de,Baumart_lat
2686000,1295009,12a,9a,9a collin,50,40,20,Empfohlen_1,Spitzahorn,Acer platanoides
2686000,1295009,12a,9a,9a collin,50,40,20,Empfohlen_1,Esche,Fraxinus excelsior
2686000,1295009,12a,9a,9a collin,50,40,20,Empfohlen_1,Kirschbaum,Prunus avium
2686000,1295009,12a,9a,9a collin,50,40,20,Empfohlen_1,Traubeneiche,Quercus petraea
2686000,1295009,12a,9a,9a collin,50,40,20,Empfohlen_2,Buche,Fagus sylvatica
2686000,1295009,12a,9a,9a collin,50,40,20,Empfohlen_2,Winterlinde,Tilia cordata
2686000,1295009,12a,9a,9a collin,50,40,20,Empfohlen_2,Sommerlinde,Tilia platyphyllos
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Tanne,Abies alba
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Feldahorn,Acer campestre
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Schneeballblättriger Ahorn,Acer opalus
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Hängebirke,Betula pendula
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Stechpalme,Ilex aquifolium
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Zitterpappel,Populus tremula
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Salweide,Salix caprea
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Mehlbeere,Sorbus aria
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Vogelbeere,Sorbus aucuparia
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_1,Eibe,Taxus baccata
2686000,1295009,12a,9a,9a collin,50,40,20,BedEmpfohlen_2,Bergahorn,Acer pseudoplatanus
2686000,1295009,12a,9a,9a collin,50,40,20,gefaehrdet,Lärche,Larix decidua
2686000,1295009,12a,9a,9a collin,50,40,20,gefaehrdet,Fichte,Picea abies
2686000,1295009,12a,9a,9a collin,50,40,20,gefaehrdet,Stieleiche,Quercus robur
2686000,1295009,12a,9a,9a collin,50,40,20,gefaehrdet,Mougeots Mehlbeere,Sorbus mougeotii
2686000,1295009,12a,9a,9a collin,50,40,20,gefaehrdet,Bergulme,Ulmus glabra
2686000,1295009,12a,9a,9a collin,50,40,20,goetterbaum,Götterbaum,Ailanthus altissima
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Buche,Fagus sylvatica
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Buche,Fagus sylvatica
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Buche,Fagus sylvatica
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Tanne,Abies alba
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Tanne,Abies alba
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Tanne,Abies alba
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Bergahorn,Acer pseudoplatanus
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Bergahorn,Acer pseudoplatanus
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Bergahorn,Acer pseudoplatanus
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Esche,Fraxinus excelsior
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Esche,Fraxinus excelsior
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Esche,Fraxinus excelsior
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Bergulme,Ulmus glabra
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Bergulme,Ulmus glabra
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Bergulme,Ulmus glabra
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Feldahorn,Acer campestre
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Feldahorn,Acer campestre
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Feldahorn,Acer campestre
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Schneeballblättriger Ahorn,Acer opalus
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Schneeballblättriger Ahorn,Acer opalus
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Schneeballblättriger Ahorn,Acer opalus
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Spitzahorn,Acer platanoides
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Spitzahorn,Acer platanoides
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Spitzahorn,Acer platanoides
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Hängebirke,Betula pendula
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Hängebirke,Betula pendula
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Hängebirke,Betula pendula
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Stechpalme,Ilex aquifolium
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Stechpalme,Ilex aquifolium
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Stechpalme,Ilex aquifolium
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Lärche,Larix decidua
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Lärche,Larix decidua
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Lärche,Larix decidua
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Fichte,Picea abies
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Fichte,Picea abies
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Fichte,Picea abies
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Zitterpappel,Populus tremula
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Zitterpappel,Populus tremula
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Zitterpappel,Populus tremula
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Kirschbaum,Prunus avium
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Kirschbaum,Prunus avium
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Kirschbaum,Prunus avium
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Traubeneiche,Quercus petraea
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Traubeneiche,Quercus petraea
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Traubeneiche,Quercus petraea
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Stieleiche,Quercus robur
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Stieleiche,Quercus robur
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Stieleiche,Quercus robur
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Salweide,Salix caprea
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Salweide,Salix caprea
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Salweide,Salix caprea
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Mehlbeere,Sorbus aria
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Mehlbeere,Sorbus aria
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Mehlbeere,Sorbus aria
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Vogelbeere,Sorbus aucuparia
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Vogelbeere,Sorbus aucuparia
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Vogelbeere,Sorbus aucuparia
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Mougeots Mehlbeere,Sorbus mougeotii
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Mougeots Mehlbeere,Sorbus mougeotii
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Mougeots Mehlbeere,Sorbus mougeotii
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Eibe,Taxus baccata
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Eibe,Taxus baccata
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Eibe,Taxus baccata
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Winterlinde,Tilia cordata
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Winterlinde,Tilia cordata
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Winterlinde,Tilia cordata
2686000,1295009,12a,9a,9a collin,50,40,20,dom_heute,Sommerlinde,Tilia platyphyllos
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_heute,Sommerlinde,Tilia platyphyllos
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Sommerlinde,Tilia platyphyllos
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Buche,Fagus sylvatica
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Buche,Fagus sylvatica
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Buche,Fagus sylvatica
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Spitzahorn,Acer platanoides
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Spitzahorn,Acer platanoides
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Spitzahorn,Acer platanoides
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Bergahorn,Acer pseudoplatanus
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Bergahorn,Acer pseudoplatanus
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Bergahorn,Acer pseudoplatanus
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Esche,Fraxinus excelsior
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Esche,Fraxinus excelsior
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Esche,Fraxinus excelsior
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Kirschbaum,Prunus avium
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Kirschbaum,Prunus avium
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Kirschbaum,Prunus avium
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Traubeneiche,Quercus petraea
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Traubeneiche,Quercus petraea
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Traubeneiche,Quercus petraea
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Tanne,Abies alba
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Tanne,Abies alba
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Tanne,Abies alba
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Feldahorn,Acer campestre
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Feldahorn,Acer campestre
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Feldahorn,Acer campestre
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Schneeballblättriger Ahorn,Acer opalus
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Schneeballblättriger Ahorn,Acer opalus
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Schneeballblättriger Ahorn,Acer opalus
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Grauerle,Alnus incana
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Grauerle,Alnus incana
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Grauerle,Alnus incana
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Hängebirke,Betula pendula
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Hängebirke,Betula pendula
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Hängebirke,Betula pendula
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Hagebuche,Carpinus betulus
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Hagebuche,Carpinus betulus
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Hagebuche,Carpinus betulus
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Stechpalme,Ilex aquifolium
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Stechpalme,Ilex aquifolium
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Stechpalme,Ilex aquifolium
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Nussbaum,Juglans regia
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Nussbaum,Juglans regia
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Nussbaum,Juglans regia
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Lärche,Larix decidua
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Lärche,Larix decidua
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Lärche,Larix decidua
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Waldföhre,Pinus sylvestris aggr.
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Waldföhre,Pinus sylvestris aggr.
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Waldföhre,Pinus sylvestris aggr.
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Zitterpappel,Populus tremula
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Zitterpappel,Populus tremula
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Zitterpappel,Populus tremula
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Stieleiche,Quercus robur
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Stieleiche,Quercus robur
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Stieleiche,Quercus robur
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Salweide,Salix caprea
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Salweide,Salix caprea
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Salweide,Salix caprea
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Mehlbeere,Sorbus aria
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Mehlbeere,Sorbus aria
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Mehlbeere,Sorbus aria
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Vogelbeere,Sorbus aucuparia
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Vogelbeere,Sorbus aucuparia
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Vogelbeere,Sorbus aucuparia
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Speierling,Sorbus domestica
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Speierling,Sorbus domestica
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Speierling,Sorbus domestica
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Elsbeere,Sorbus torminalis
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Elsbeere,Sorbus torminalis
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Elsbeere,Sorbus torminalis
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Eibe,Taxus baccata
2686000,1295009,12a,9a,9a collin,50,40,20,wichtBeiGem_maessKW,Eibe,Taxus baccata
2686000,1295009,12a,9a,9a collin,50,40,20,weitere_heute,Eibe,Taxus baccata
2686000,1295009,12a,9a,9a collin,50,40,20,dom_maessKW,Winterlinde,Tilia cordata
