CLNR;x;y;IP5AREPROZ;IP50PROZ;custom_forest_type_code;custom_transition_forest_type_code
6;2686000;1295009;42,40;47,20;N3000.0000000;
6;2686000;1295009;57,10;33,90;N0012.0010000;
6;2686000;1295009;0,50;18,80;N0012.0140000;
22;2685023;1293988;100,00;100,00;N0012.0010000;
26;2686994;1293997;100,00;100,00;N0012.0010000;
31;2690998;1293999;0,00;9,70;N3000.0000000;
31;2690998;1293999;100,00;90,30;N0007.0010000;N0010.0010000
47;2686003;1293001;100,00;100,00;N0012.0010000;
51;2688004;1293002;94,70;68,10;N0010.0010000;
51;2688004;1293002;5,30;31,90;N0009.0010000;
125;2678002;1291000;0,00;1,30;N0009.0010000;
125;2678002;1291000;50,10;48,80;N0010.0010000;
125;2678002;1291000;38,20;45,60;N0014.0000000;
125;2678002;1291000;11,70;4,30;N0014.0000000;
137;2683991;1290999;100,00;100,00;N0012.0010000;
145;2688003;1291000;56,90;68,40;N3000.0000000;
145;2688003;1291000;43,10;31,60;N0014.0000000;
151;2692019;1291001;0,00;10,30;N0007.0001200;
151;2692019;1291001;100,00;84,80;N0007.0010000;N0006.0000000
151;2692019;1291001;0,00;4,90;N0007.0010000;N0009.0010000
203;2680994;1290004;6,70;31,30;N3003.0000000;
203;2680994;1290004;93,30;68,70;N0009.0010000;
207;2683006;1289998;100,00;100,00;N0012.0010000;N0009.0010000
211;2684999;1290000;100,00;100,00;N0012.0010000;
290;2682006;1289001;4,80;28,50;N0009.0010000;
290;2682006;1289001;74,70;59,00;N0010.0010000;
290;2682006;1289001;20,60;12,50;N3001.0000000;
294;2684005;1288998;6,30;33,70;N0012.0001200;
294;2684005;1288998;93,70;66,30;N0012.0010000;
298;2686003;1289000;100,00;100,00;N0012.0010000;
302;2688000;1289001;100,00;100,00;N0009.0010000;
368;2681004;1288001;100,00;100,00;N0011.0000000;
372;2683007;1288004;0,00;13,30;N0012.0010000;
372;2683007;1288004;100,00;86,70;N0012.0001200;
384;2689002;1287998;100,00;100,00;N0009.0010000;
392;2693001;1288001;100,00;100,00;N0007.0010000;N0009.0010000
448;2680009;1286999;100,00;100,00;N0011.0000000;
452;2682001;1286996;0,00;5,80;N0012.0001200;N0012.0010000
452;2682001;1286996;99,90;69,30;N0012.0001200;
452;2682001;1286996;0,00;11,30;N0027.0000000;
452;2682001;1286996;0,10;9,00;N0012.0001200;N0012.0010000
452;2682001;1286996;0,00;4,60;N0012.0010000;
456;2683999;1287000;100,00;100,00;N0012.0050000;N0012.0010000
460;2686004;1287007;77,40;60,90;N0009.0010000;
460;2686004;1287007;22,60;39,10;N0007.0010000;
464;2688007;1286999;72,50;28,50;N0011.0000000;
464;2688007;1286999;19,90;38,80;N0007.0010000;N0009.0010000
464;2688007;1286999;7,50;32,70;N0026.0000000;
468;2689998;1287001;100,00;100,00;N0007.0010000;N0009.0010000
476;2694002;1286997;21,30;33,50;N3000.0000000;
476;2694002;1286997;52,60;45,50;N0007.0010000;
476;2694002;1286997;26,10;21,10;N0007.0010000;N0009.0010000
544;2683005;1286000;97,60;78,40;N0012.0001200;
544;2683005;1286000;2,40;9,00;N3001.0000000;
544;2683005;1286000;0,00;12,60;N0012.0001200;
548;2685003;1285999;3,50;24,70;N0010.0010000;
548;2685003;1285999;17,20;10,00;N3001.0000000;
548;2685003;1285999;79,30;65,20;N0010.0010000;
552;2687008;1285998;100,00;100,00;N0009.0010000;
556;2689001;1286003;100,00;64,20;N0009.0010000;
556;2689001;1286003;0,00;35,80;N0011.0000000;
564;2692999;1286004;8,70;26,80;N0007.0010000;
564;2692999;1286004;27,30;32,10;N0007.0010000;
564;2692999;1286004;36,60;17,40;N3000.0000000;
564;2692999;1286004;27,30;19,80;N0007.0010000;
564;2692999;1286004;0,00;3,80;N0007.0010000;
572;2697003;1286008;0,00;9,30;N3000.0000000;
572;2697003;1286008;100,00;90,70;N0007.0010000;N0009.0010000
636;2673999;1284997;25,10;37,80;N3000.0000000;
636;2673999;1284997;56,30;28,70;N0013.0010000;
636;2673999;1284997;15,70;17,40;N0009.0010000;N0013.0010000
636;2673999;1284997;2,10;6,70;N0013.0010000;
636;2673999;1284997;0,70;6,90;N0010.0140000;
636;2673999;1284997;0,00;1,10;N3011.0000000;
636;2673999;1284997;0,00;1,40;N3001.0000000;
652;2682003;1285001;100,00;98,70;N0010.0010000;
652;2682003;1285001;0,00;1,30;N3003.0000000;
656;2684001;1285002;100,00;100,00;N0012.0010000;N0009.0010000
660;2685998;1285002;100,00;100,00;N0007.0010000;N0009.0010000
664;2688002;1284999;100,00;100,00;N0009.0010000;
672;2691999;1284997;23,60;16,80;N0007.0001200;
672;2691999;1284997;76,40;83,20;N0007.0010000;
682;2700001;1285002;100,00;100,00;N0007.0010000;
780;2687002;1283998;33,40;31,70;N0007.0010000;
780;2687002;1283998;0,00;8,30;N0009.0010000;
780;2687002;1283998;66,50;60,00;N0006.0000000;
805;2705002;1283997;100,00;100,00;N0007.0010000;
867;2674001;1282999;100,00;100,00;N0007.0010000;N0009.0010000
895;2687997;1283002;4,40;23,80;N0007.0010000;
895;2687997;1283002;13,20;7,60;N3001.0000000;
895;2687997;1283002;82,40;68,70;N0007.0010000;
907;2694005;1282999;100,00;100,00;N0029.0000000;N0035.0000000
924;2706004;1283002;100,00;100,00;N0007.0010000;
1012;2683000;1282001;100,00;100,00;N0009.0010000;
1016;2685005;1281998;100,00;100,00;N0009.0010000;N0007.0010000
1020;2687000;1282003;100,00;93,70;N0007.0010000;
1020;2687000;1282003;0,00;6,30;N0007.0001200;
1028;2690997;1281995;100,00;100,00;N0006.0000000;N0007.0010000
1036;2695005;1282000;0,00;9,20;N0035.0000000;N0007.0010000
1036;2695005;1282000;100,00;90,80;N0035.0000000;N0009.0010000
1053;2705007;1282008;6,20;19,40;N0007.0010000;N0009.0010000
1053;2705007;1282008;93,80;80,60;N0006.0000000;
1170;2678000;1281000;7,00;28,50;N0006.0000000;
1170;2678000;1281000;93,00;71,50;N0007.0010000;
1174;2679998;1280998;100,00;100,00;N0009.0010000;
1178;2682009;1281000;100,00;100,00;N0012.0010000;N0009.0010000
1182;2684002;1281003;18,90;74,00;N0007.0010000;N0007.0001200
1182;2684002;1281003;81,10;26,00;N0007.0001200;N0007.0010000
1186;2686001;1281000;100,00;100,00;N0009.0010000;
1194;2690002;1280998;0,00;4,70;N0007.0010000;
1194;2690002;1280998;100,00;95,30;N0007.0001200;
1206;2696006;1280999;0,00;12,90;N3001.0000000;
1206;2696006;1280999;100,00;80,20;N0007.0010000;
1206;2696006;1280999;0,00;6,90;N0007.0010000;
1214;2699999;1280996;100,00;100,00;N0007.0010000;N0006.0000000
1218;2702002;1281001;88,10;57,20;N0007.0001200;
1218;2702002;1281001;11,80;42,80;N0007.0010000;
1222;2703998;1280998;0,00;5,60;N0007.0001200;N0029.0000000
1222;2703998;1280998;100,00;94,40;N0007.0010000;
1239;2719999;1281001;81,10;55,70;N0009.0010000;
1239;2719999;1281001;1,80;18,20;N0015.0000000;
1239;2719999;1281001;17,00;26,20;N0011.0000000;
1365;2680995;1280003;84,70;63,20;N0009.0010000;N0007.0010000
1365;2680995;1280003;15,30;36,80;N0009.0010000;
1369;2684998;1279998;92,70;98,40;N0007.0010000;
1369;2684998;1279998;7,30;1,60;N0007.0001200;
1378;2691002;1279995;0,00;22,20;N3003.0000000;
1378;2691002;1279995;100,00;77,80;N0007.0010000;N0006.0000000
1382;2693001;1279993;100,00;89,60;N0007.0010000;N0006.0000000
1382;2693001;1279993;0,00;10,40;N0006.0000000;
1402;2703003;1280006;50,80;68,70;N3009.0000000;
1402;2703003;1280006;49,20;23,60;N0030.0000000;
1402;2703003;1280006;0,00;7,70;N0030.0000000;
1419;2717000;1279998;44,10;34,60;N0010.0140000;
1419;2717000;1279998;0,00;20,90;N0010.0010000;
1419;2717000;1279998;40,10;24,80;N0014.0000000;
1419;2717000;1279998;10,80;7,20;N0027.0000000;
