SISF_NR; ART_SCHICHT_STD; ART_HS_COLLIN; ART_HS_SUBMONTAN; ART_HS_UNTERMONT; ART_HS_OBERMONT; ART_HS_HOCHMONT; ART_HS_SUBALPIN; ART_HS_OBSUBALP; ART_REGION_J; ART_REGION_M; ART_REGION_1; ART_REGION_2A; ART_REGION_2B; ART_REGION_3; ART_REGION_4; ART_REGION_5A; ART_REGION_5AA; ART_REGION_5B; ART_ZEIG_DET; ART_ZEIG_FLO; ART_LEBENSR; ART_PIONIER; ART_GFA; ART_KAA; ART_LA_BAFU
100;1;2;2;1;1;1;9;0;1;1;1;1;2;0;2;1;1;1;;t3k2l1f4w2r3n3h5d1;2.9 9.1 9.2;0;0;0;0
300;1;1;1;2;0;0;0;0;1;1;1;1;1;2;2;1;1;1;;t4k3l3f2.5w1r3n3h3d3;7.4 9.1 9.2 9.3;0;0;0;0
600;0;1;1;2;2;0;0;0;1;2;2;1;1;0;0;0;0;0;;t4.5k3l3f2w1r4n3h3d3;7.4 9.2 9.3;0;0;0;0
700;1;1;1;2;2;0;0;0;1;1;1;1;2;2;9;9;9;9;;t4k3l2f3w1r4n3h3d1;2.9 7.4 9.2;0;0;0;0
800;1;2;1;1;1;1;2;0;9;9;9;9;9;9;9;9;9;9;;t3k2l2f3.5w3r3n3h3d1;3.3 7.4 9.1 9.2;0;0;0;0
6900;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k2l3f3.5w2r4n3h3d3;2.9 9.2;0;1;0;0
9500;0;1;2;9;9;0;0;0;9;9;9;9;9;9;9;9;9;9;;t4.5k3l4f2w1r4n4h3d3;2.2 2.9 7.4 9.2;0;1;0;1
25200;1;1;1;2;0;0;0;0;1;1;1;2;2;2;2;1;1;1;;t4k3l3f4.5w3r3n4h5d1;7.5 9.2;1;0;0;0
25300;1;2;1;1;1;2;0;0;1;1;1;1;1;2;1;1;1;1;;t3k3l3f4w3r4n4h3d1;7.5 9.2;1;0;0;0
25400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2k2l3f4w3r2n4h3d1;8.1 8.2 9.1 9.2;1;0;0;0
