SISF_NR; ART_SCHICHT_STD; ART_HS_COLLIN; ART_HS_SUBMONTAN; ART_HS_UNTERMONT; ART_HS_OBERMONT; ART_HS_HOCHMONT; ART_HS_SUBALPIN; ART_HS_OBSUBALP; ART_REGION_J; ART_REGION_M; ART_REGION_1; ART_REGION_2A; ART_REGION_2B; ART_REGION_3; ART_REGION_4; ART_REGION_5A; ART_REGION_5AA; ART_REGION_5B; ART_ZEIG_DET; ART_ZEIG_FLO; ART_LEBENSR
300;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t4k3l3f2.5w1r3n3h3d3;7.4 9.1 9.2 9.3
1600;0;0;0;0;0;0;1;1;9;9;9;9;9;9;9;9;9;9;Hochstaudenflur;t2k2l3f3w1r3n4h5d1;7.2 8.1 9.1 9.2
2700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden, Föhrenwald;t3k4l4f1.5w2r5n2h1d3;2.5 3.2 6.2 9.1
3000;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k2l2f4w3r4n3h5d1;9.1 9.2
3300;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Hochstaudenflur, sehr nährstoffreich;t2k3l4f4w3r3n5h5d1;2.4 6.3 6.5 7.2
4390;0;0;0;0;0;1;1;0;9;9;9;9;9;9;9;9;9;9;Hochstaudenflur;;
4400;1;0;0;0;0;1;1;0;9;9;9;9;9;9;9;9;9;9;;t3k4l4f2.5w2r5n3h3d3;4.2 7.2 8.1 9.2
4895;0;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;;t2.5k3l3f4w2r4n4h3dx;
5200;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;;t3k3l1f3.5w1r4n3h5d3;7.2 7.4 9.2
5400;1;0;0;0;1;1;1;1;9;9;9;9;9;9;9;9;9;9;Hochstaudenflur. Jura: bei enzelnen Vorkommen nicht bedeutend;t2k2l2f3.5w1r3n4h5d1;3.4 4.2 7.2 8.1
5500;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;;t2k3l2f3.5w1r5n3h3d3;3.3 7.2 8.2 9.2
6300;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Tonig-schwere Böden mässig wechselfeucht;t3k3l2f3.5w2r4n3h3d1;7.2 8.1 9.2
6800;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l2f3.5w1r3n4h3d1;2.3 2.6 2.8 9.2
8600;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Mässig wecheslfeucht;t3k3l3f2.5w2r2n2h5d1;5.1 6.2 6.5 9.2
9100;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t1.5k2l4f3.5w3r2n3h3d3;6.5 7.2 8.1 9.1
9300;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;nährstoffreich, Auen;t3k3l3f4w3r4n4h3d1;1.4 2.5 6.3 9.2
10400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3w1r3n3h3d1;2.3 2.6 6.3 9.2
