SISF_NR; ART_SCHICHT_STD; ART_HS_COLLIN; ART_HS_SUBMONTAN; ART_HS_UNTERMONT; ART_HS_OBERMONT; ART_HS_HOCHMONT; ART_HS_SUBALPIN; ART_HS_OBSUBALP; ART_REGION_J; ART_REGION_M; ART_REGION_1; ART_REGION_2A; ART_REGION_2B; ART_REGION_3; ART_REGION_4; ART_REGION_5A; ART_REGION_5AA; ART_REGION_5B; ART_ZEIG_DET; ART_ZEIG_FLO; ART_LEBENSR
1000051;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k2l1f3wr2n1h5d;gH
1000146;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t3k3l2f3wr4n3h3d;gH
1000155;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k3l2f2wr2n1h3d;gH
1000171;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k3l3f2wrxn1h5d;gH
1000214;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;;t3k2l2f3wr4nhd;gH
1000265;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t3k3l4f2wr2n1hd;gH
1000283;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k3l3f3wr2n1h5d;gH
1000284;1;0;0;0;0;0;1;1;9;9;9;9;9;9;9;9;9;9;Kalt, nur Nadelwald;t2kl1f3wrxnhd;gH
1000289;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;Oft auf Schutt oder Baumstämmen;t3k3lxf3wrxn3hd;gH
1000301;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t3k2l2f3wrxn1hd;gH
1000328;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k3l2f3wr2n1h5d;gH
1000375;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Fels, Blockschutt;t3k2l2f3wr4n1hd;gH
1000399;1;0;1;1;1;1;1;0;9;9;9;9;9;9;9;9;9;9;Tuffbildend;t3k3l3f5wr5n1h3d;eQ
1000422;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k2l2f3wrxn5h3d;gH
1000427;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;kalt, nur Nadelwald;t3k2l1f3wr2n1h3d;gH
1000434;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;nur Nadelwald;t2k3l3f3wr2n1h5d;gH
1000446;1;0;0;0;0;1;1;0;9;9;9;9;9;9;9;9;9;9;;t3kl3f4wr2nhd;gH
1000447;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k3l2f3wrxn1h5d;gH
1000448;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden;t1k3l4f2wr3n1h3d;eK
1000473;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;Kalt, nur Nadelwald;t3k3l2f3wr2n1h5d;gH
1000499;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;Nur Nadelwald;t3k3lxf3wrxn1h3d;gH
1000544;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t3k2l4f5wr1n1h5d;gW
1000574;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Ahornwälder, Sonderwaldstandorte;t4k2l2f4wrxn3h3d;gH
1000577;1;0;0;0;0;1;0;0;9;9;9;9;9;9;9;9;9;9;Moderzeiger;t3k3l2f3wr3n1h5d;gH
1000585;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k3l3f2wr4n1h3d;gH
2000001;1;0;0;0;0;1;1;1;9;9;9;9;9;9;9;9;9;9;;;
2000002;1;;;;;;;;;;;;;;;;;;;;
2000003;1;;;;;;;;;;;;;;;;;;;;
2000004;1;;;;;;;;;;;;;;;;;;;;
