SISF_NR; ART_SCHICHT_STD; ART_HS_COLLIN; ART_HS_SUBMONTAN; ART_HS_UNTERMONT; ART_HS_OBERMONT; ART_HS_HOCHMONT; ART_HS_SUBALPIN; ART_HS_OBSUBALP; ART_REGION_J; ART_REGION_M; ART_REGION_1; ART_REGION_2A; ART_REGION_2B; ART_REGION_3; ART_REGION_4; ART_REGION_5A; ART_REGION_5AA; ART_REGION_5B; ART_ZEIG_DET; ART_ZEIG_FLO; ART_LEBENSR
300;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t4k3l3f2.5w1r3n3h3d3;7.4 9.1 9.2 9.3
25400;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2k2l3f4w3r2n4h3d1;8.1 8.2 9.1 9.2
29300;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden;t3k4l4f2w3r4n2h1d3;3.2 7.4 9.1 9.3
59200;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k4l3f2w1r4n2h3d3;7.4 9.1 9.2 9.3
67700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden;t4.5k2l4f2w1r4n3h1d3;2.5 2.9 7.4 9.2
70500;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4.5k2l3f2w1r4n2h3d3;3.2 7.4 9.2 9.3
113350;0;;;;;;;;;;;;;;;;;;;;
116400;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3w1r4n3h3d3;6.7 7.4 7.5 9.2
118100;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4.5k4l3f2w1r4n2h3d3;
119600;0;1;1;2;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t4.5k4l3f2.5w1r4n3h3d3;2.9 7.4 9.2 9.3
119700;0;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3w1r4n3h3d3;3.3 7.4 9.2 9.3
121600;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3k3l3f3w2r3n3h3d3;7.4 9.1 9.2 9.3
121700;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4.5k3l4f1.5w1r4n2h3d3;2.9 3.3 7.4 9.3
121800;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken, Rohboden;t3k4l4f1.5w2r4n2h1d3;3.2 7.1 9.1 9.3
122000;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechseltrocken, Rohboden;t3.5k4l4f1.5w2r5n2h1d3;3.2 7.4 9.1 9.3
122200;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k2l3f3.5w2r3n3h3d1;7.4 9.2 9.3 9.5
122400;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k4l4f3w2r4n3h3d3;7.4 9.2 9.3 9.5
131500;0;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t4k2l3f2.5w1r2n3h5d1;7.1 7.3 9.1 9.2
133500;0;1;0;0;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k2l2f2.5w1r4n2h3d3;9.2 9.3
133600;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3k3l2f3w2r4n3h3d3;3.3 7.1 7.2 9.2
159000;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3.5w3r4n3h3d1;2.9 7.4 9.2
159100;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k2l3f3.5w1r4n3h3d3;2.9 7.4 9.2
174000;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3.5w3r3n2h5d1;7.4 9.1 9.2
194000;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;;t4k2l2f3w1r3n3h3d3;2.7 7.4 9.2 9.3
206400;0;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;Rohboden;t4k4l3f2w2r4n2h1d3;7.4 9.1 9.2 9.3
206500;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden;t3.5k4l4f2.5w3r4n3h1d3;2.5 3.2 7.4 9.1
213300;1;1;1;1;0;0;0;0;1;1;1;2;2;0;2;1;1;1;;t3.5k2l2f2.5w1r3n3h3d3;9.1 9.2 9.3 9.4
220400;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k4l4f2w2r3n2h3d1;3.2 7.4 9.1 9.2
220700;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;;
220800;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k5l4f1.5w1r3n2h3d3;3.2 6.2 7.4 9.1
224200;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;;t4k3l3f3w1r3n3h3d3;3.2 3.3 7.4 9.2
224300;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;;t4.5k3l3f2.5w1r4n3h3d3;3.3 7.4 9.2 9.3
231500;0;1;0;0;0;0;0;0;9;9;9;9;9;9;9;9;9;9;Verwildert, mässig trocken;t5k2l2f2w1r3n2h3d3;2.9 9.2 9.3 9.4
238100;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t4k3l3f2.5w3r4n3h3d3;7.4 9.1 9.2 9.3
243400;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t2.5k2l2f3w2r4n3h3d1;7.1 8.1 9.1 9.2
243500;1;0;0;0;0;0;0;1;9;9;9;9;9;9;9;9;9;9;;t2k3l3f3w1r2n2h3d3;7.1 8.1 8.2 9.1
243900;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2.5k3l2f3w1r3n3h5d1;7.1 8.1 9.1 9.2
244000;0;1;1;0;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t4k2l3f3w1r2n3h3d3;2.6 6.7 7.4 9.2
244200;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f3w1r4n3h3d3;7.4 9.1 9.2 9.3
259200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4.5k2l3f2w1r3n3h3d3;2.9 7.4 9.2 9.3
305500;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht, Rohboden;t2k4l4f2.5w2rxn2h1d3;6.5 8.1 8.2 9.1
329400;0;1;0;0;0;0;0;0;9;9;9;9;9;9;9;9;9;9;Verwildert;t4.5k2l2f2.5w1r3n3h3d3;2.9 7.4 9.2
329500;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;Rohboden;t4.5k4l3f1.5w1r4n2h1d3;7.4 9.1 9.3 9.4
329700;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k2l2f3.5w3r3n3h3d1;7.4 9.2
330300;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k3l4f2.5w1r3n3h3d3;7.4 9.1 9.2 9.3
335900;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k3l3f2w2r3n2h3d3;9.1 9.2 9.3
336100;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4k3l3f3.5w3r3n3h3d1;9.2 9.3
343400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mädssig wechselfeucht;t3.5k4l3f2w2r4n2h3d5;3.2 3.3 7.4 9.3
343500;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k4l3f2.5w3r4n2h3d1;7.4 9.1 9.2 9.3
345300;1;0;0;0;0;0;0;1;9;9;9;9;9;9;9;9;9;9;In den Südalpen auch collin bis subalpin. Mässig wechselfeucht;t2k2l3f3w1r2n2h5d1;3.3 7.1 8.1 9.1
345400;1;0;0;0;0;1;1;0;9;9;9;9;9;9;9;9;9;9;kalt;t2k2l3f3w1r4n2h5d1;3.3 7.1 8.2 9.1
346000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;kühl;t2.5k3l3f3w1r4n3h3d3;3.3 7.4 9.1 9.2
346200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2.5k3l3f3w1r2n4h3d3;2.9 8.1 9.1 9.2
346300;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k2l2f3.5w2r3n4h3d1;2.9 7.4 9.2
346400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k4l3f3w2r3n4h3d1;2.9 7.4 9.2
347600;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3.5k2l3f3w2r4n3h3d3;7.4 9.2
347800;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3k3l3f2.5w1r3n3h3d3;7.4 9.1 9.2 9.3
349500;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;kühl;t2.5k3l3f3.5w2r4n3h3d3;8.1 8.2 9.1 9.2
353100;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4kxl3f3w1rxn4h3d1;
354400;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3k3l3f3w2r3n4h3d3;2.6 3.3 7.2 9.2
357400;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3k3l2f3w2r4n2h3d3;3.3 3.4 8.2 9.2
363100;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2.5k3l3f3.5w3r3n3h3d1;3.3 4.2 8.1 9.2
364200;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t1.5k2l4f4w3r3n2h3d1;3.3 4.1 5.1 8.1
365500;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t2.5k4l4f4w3r3n3h3d1;7.4 7.5 8.1 9.2
368300;1;1;1;1;1;1;0;0;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t3.5k3l3f3.5w2r4n4h3d1;3.3 7.4 9.2 9.5
368400;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;sauer;t2.5k3l3f3w1r2n4h3d3;3.3 7.4 9.1 9.2
402400;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t2k2l3f3w2r4n3h5d1;3.4 7.4 8.2 9.1
407000;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t4.5k4l3f2.5w1r4n3h3d3;2.9 7.4 9.2 9.3
434800;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;;t2.5k3l2f3w3r1n2h5d1;6.5 7.1 9.1 9.2
435300;1;1;1;1;1;1;1;1;9;9;9;9;9;9;9;9;9;9;mässig wechselfeucht;t2k3l4f2.5w2r1n2h5d3;
444300;1;1;1;1;0;0;0;0;9;9;9;9;9;9;9;9;9;9;;t3.5k3l3f2w1r4n2h3d3;7.4 9.1 9.2 9.3
444400;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;;t3.5k2l3f3.5w3r3n3h5d1;7.4 7.5 9.1 9.2
