NAISTYP_SORT; NAISTYP_C; NAISTYP_HAUPTVAR; NAISTYP_VAR; NAISTYP_NWLD;NAISTYP_NWLD_FR; NAISTYP_HDOM_MIN; NAISTYP_HDOM_MAX; NAISTYP_HMAX_NAD; NAISTYP_HMAX_LAU;NAISTYP_BEM4; NAISTYP_STAO; NAISTYP_STAO_FR; NAISTYP_VASP; NAISTYP_VASP_FR; NAISTYP_HUMF; NAISTYP_ENT;NAISTYP_EIG; NAISTYP_EIG_FR; NTYP_KG_FEIN; NTYP_KG_GESTEIN; NAISTYP_KG_V; NAISTYP_KG_T_MIN; NAISTYP_KG_T_MAX; NTYP_AM_S; NTYP_AM_B; NTYP_RT_MITTELH; NTYP_RT_MULDE; NTYP_RT_KUPPE; NTYP_RT_PLATEAU; NTYP_RT_STEILH; NTYP_FELS; NTYP_BL_FELS_ST; NTYP_BL_FELS_WE; NTYP_BL_KARREN; NTYP_BL_SCHUTT_M; NTYP_BL_SCHUTT_S; NTYP_BL_SCHUTT_X; NTYP_STEINSCHLAG; NTYP_LAWINEN; NTYP_RUTSCHUNG; NTYP_EROSION; NTYP_WASS_BACH; NTYP_WASS_KLEIN; NTYP_WASS_QUELL; NTYP_WECHSELF; NAISTYP_GFX; ART_LNK_HG_NATW; ART_LNK_HG_HOE; ART_LNK_HG_STD; ART_LNK_HG_VEGA; ART_LNK_HG_MERKM; ART_LNK_HG_BS; ART_LNK_HG_SS; ART_LNK_HG_KS; ART_LNK_HG_MS; NAISTYP_OEG_HAWA; NAISTYP_OEB_HAWA; NAISTYP_OEG_SOWA; NAISTYP_OEB_SOWA; NAISTYP_OEG_WEFE; NAISTYP_OEB_WEFE; NAISTYP_OEG_AUE; NAISTYP_OEG_PIO; NAISTYP_ANFE; NAISTYP_OEG_GEB
1;1;;H;"Mässig wüchsiger Buchenwald, oft reine Buchenbestände, aber häufig auch Traubeneichen und/oder Waldföhren beigemischt. 
";Hêtraie moyennement fertile, peuplements de hêtres souvent purs, mais souvent aussi en mélange avec le chêne sessile et/ou le pin sylvestre. ;20;30;36;33;;"Kuppen und flache Hügelrücken über kalkarmem oder tiefgründig ausgewaschenem Muttergestein
";Élévations de terrain et plateaux au sommet des collines sur roche-mère pauvre en calcaire ou lessivée en profondeur.;"Sträucher oft fehlend, Bodenvegetation oft lückig und artenarm. Oft Moosteppich.
";Souvent sans arbuste, végétation basse souvent discontinue et pauvre en espèces. Présence fréquente d’un tapis de mousses. ;Moder;"Stark saure Braunerde und Parabraunerde, teilweise vernässt
";"Gründigkeit tief, biologische Aktivität stark eingeschränkt, Durchlässigkeit mittel. Keine Vernässung bis schwach pseudovergleyt.
";Sol profond, activité biologique très limitée, perméabilité moyenne. Non hydromorphe à peu pseudogleyifié.;0;0;9;85;;1;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;1;;0;;0;;0;0;2;0
1,009;1h;;H;"Buche und Tanne dominieren, dazu Fichte, Föhre, Vogelbeere, Schlussgrad normal bis locker. Einzelbäume, Kleinkollektive, selten Rotten
";Le hêtre et le sapin dominent, présence de l’épicéa, du pin et du sorbier des oiseleurs, degré de fermeture normal à entrouvert. Arbres isolés, petits collectifs, rarement troches. ;20;25;30;25;;"Kuppen und flache Hügelrücken über kalkarmem oder tiefgründig ausgewaschenem Muttergestein
";Élévations de terrain et plateaux au sommet des collines sur roche-mère pauvre en calcaire ou lessivée en profondeur.;"Heidelbeere, säurezeigende Moose
";Myrtille, mousses indicatrices d’acidité. ;Moder, stellenweise Rohhumus;"Braunerde, Parabraunerde, teilweise podsoliert
";"Skelettgehalt mittel bis hoch, Gründigkeit mittel, Durchlässigkeit mittel bis hoch
";Pierrosité moyenne à élevée, profondeur moyenne, perméabilité moyenne à élevée. ;0;0;9;130;;1;2;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1h;;;;;;;;;;1;;0;;0;;0;0;2;0
2;2;;;;Hêtraie peu fertile, peuplements de hêtres souvent purs, mais souvent aussi en mélange avec le chêne sessile et/ou le pin sylvestre. ;15;25;28;25;;"Kuppen, flache Hügelrücken und Hänge über kalkarmem oder tiefgründig ausgewaschenem Muttergestein. Verlustlagen. 
";Élévations de terrain, plateaux au sommet des collines et pentes sur roche-mère pauvre en calcaire ou lessivée en profondeur. Zones d’appauvrissement. ;"Sträucher oft fehlend, wo Laubstreu weggeweht wird oft ausgeprägte Moospolster.
";Souvent sans arbuste, tapis de mousses prononcé là où la litière feuillue a été soufflée. ;Moder;"Stark saure Braunerde, teilweise podsoliert, Parabraunerde
";"Gründigkeit tief, biologische Aktivität eingeschränkt, Durchlässigkeit mittel bis hoch. Keine Vernässung bis schwach pseudovergleyt.
";Sol profond, activité biologique limitée, perméabilité moyenne à élevée. Non hydromorphe à peu pseudogleyifié. ;0;0;2;;;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;1;;0;;0;;0;0;2;0
3;3;;;;"Hêtraies souvent denses, en partie hêtres à gros houppiers ou rejets de souche. En mélange par endroits : chêne sessile, bouleau, châtaignier, alisier blanc, sorbier des oiseleurs, tremble, tilleul, épicéa, sapin, mélèze. Dans la région 5a qui marque la limite de l’aire de l’épicéa, présence éventuelle de quelques épicéas ; ces derniers manquent totalement dans la région 5b. Les rares stades de forêt définitive sont plus riches en sapins et correspondent à peu près au type de station19a (hêtraie à sapin avec luzule des forêts et calamagrostide des forêts).";15;25;30;25;;Hanglagen, in tiefen Lagen kalte Schattenhänge. Von 500 bis 1500 m über Meer;Pentes, versants ombragés et froids à basse altitude. Entre 500 et 1500 m d’altitude.;"Spärliche Krautschicht mit Schneesimse, Rohrreitgras, Betonienblättrige Rapunzel. Nicht selten sind die dunkelsten Bestände ohne Krautschicht
";Strate herbacée clairsemée avec luzule blanc-de-neige, calamagrostide roseau et raiponce à feuilles de bétoine. Il n’est pas rare que les peuplements les plus foncés soient dépourvus de strate herbacée. ;Moder;"Saure Braunerde, Braunpodsol, Humuspodsol
";"Skelettgehalt mittel bis sehr hoch, Gründigkeit mittel bis sehr tief, durchlässig, keine Vernässung
";Pierrosité moyenne à très élevée, sol moyennement profond à très profond, perméable, non hydromorphe.;0;0;2;;;1;0;1;0;2;2;1;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;3;;;;;;;;;;1;;0;;0;;0;0;2;0
3,000001;3s;;H;"Schlecht wüchsiger Buchenwald, oft mit offenen Stellen. Oft Stockausschläge. Wenig Traubeneiche, Mehlbeere und Birke beigemischt. Bäume grobastig und wenig vital, trockene Aeste.
";Hêtraie peu fertile, souvent avec des surfaces découvertes. Souvent rejets de souche. Peu de chênes sessiles, d’alisiers blancs et de bouleaux mélangés. Arbres branchus et peu vigoureux, branches sèches. ;12;15;18;15;Meistens auch kleinere BÜume, selten mehr als 12-15m;"Sonnige Hänge auf Silikat, steile, konvexe, felsige Lagen mit wenig tiefgründigen Böden 
";Versants ensoleillés sur roches siliceuses, endroits raides, convexes et rocheux avec un sol peu profond.;"Mit Rohrreitgras und Pfeifengras
";Avec calamagrostide roseau et molinie. ;Moder, Xeromoder;"Braunpodsol, Humuspodsol
";"Skelettgehalt hoch bis sehr hoch, durchlässig. Die biologische Aktivität ist durch die Bodensäure und die wiederkehrende Trockenheit gehemmt.
";Pierrosité élevée à très élevée, perméable. Activité biologique ralentie par l’acidité du sol et la sécheresse récurrente.;0;0;2;;;1;0;2;0;1;0;1;1;1;2;0;0;0;2;2;0;0;2;0;0;0;0;3s;;;;;;;;;;1;;0;;0;;0;0;2;0
3,00015;3LV;;;;Le hêtre, le chêne sessile et le châtaignier dominent. Houx en sous-bois. En mélange dans la strate supérieure : bouleau, alisier blanc, évent. sapin. ;15;20;25;20;;Hanglagen, meistens Schattenlagen. Bis 800 (1000) m über Meer;Versants, le plus souvent ombragés. Jusqu’à 800 (1000) m d’altitude.;"Spärliche Krautschicht, viel Stechpalme und Eibe in der Strauchschicht
";Strate herbacée clairsemée, houx et ifs abondants dans la strate buissonnante. ;Moder, teilweise trockene Ausprägung;"Podsolierte Braunerde, Humuspodsol, Ranker
";"Skelettgehalt mittel bis äusserst hoch, Gründigkeit mittel bis sehr tief, durchlässig, keine Vernässung
";Pierrosité moyenne à extrêmement élevée, sol moyennement profond à très profond, perméable, non hydromorphe. ;0;0;;;;1;0;1;2;2;2;2;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;3LV;;;;;;;;;;1;;0;;0;;0;0;0;0
3,01;3L/4L;;;;Le hêtre domine. Houx, if et autres espèces laurophylles en sous-bois. En mélange dans la strate supérieure : chêne sessile, bouleau, châtaignier, tilleul, merisier ainsi que, en 4L. érable, frêne et aulne noir. Le sapin peut aussi être présent.;20;33;35;35;;Hanglagen, oft auf Porphyr oder Moränen, meistens Schattenhänge. Bis 800 (1000) m über Meer;Versants, souvent sur porphyre ou moraines, généralement ombragés. Jusqu’à 800 (1000) m d’altitude.;"Spärliche Krautschicht, viele immergrüne Sträucher, Efeu auch in Baumschicht
";Strate herbacée clairsemée, buissons sempervirents abondants, lierre aussi dans la strate arborescente. ;Moder, stellenweise Mull;"Saure Braunerde, schwach podsoliert. Braunpodsol, Humuspodsol
";"Skelettgehalt mittel bis äusserst hoch, Gründigkeit tief bis äusserst tief, durchlässig, keine Vernässung

";Pierrosité moyenne à extrêmement élevée, sol profond à extrêmement profond, perméable, non hydromorphe. ;0;0;2;;;1;0;1;2;2;2;1;0;1;2;0;0;0;2;2;0;0;2;0;0;0;0;3L_4L;;;;;;;;;;1;;0;;0;;0;0;0;0
3,1;3*/4*;;;;Peuplements de hêtres de faible croissance et riches en buissons avec éricacées (rhododendron, bruyère, myrtille) et, par endroits, quelques sapins blancs.  ;12;18;26;22;;"Nährstoffarme, schattige Lagen auf silikatischen Felsen oder Blöcken mit dünner Feinerdebedeckung. 
";Endroits oligotrophes et ombragés sur roches siliceuses ou blocs couverts d’une mince couche de terre fine. ;Strauchreich dank der nicht geschlossenen Baumschicht. In Schluchten und luftfeuchten Lagen kommt vermehrt die Ausbildung mit Farnen, Bärlapp und Moosteppiche vor (4*).;Riche en buissons grâce à la strate arborescente ouverte. Dans les ravins et lieux à air humide, formation accrue avec fougères, lycopodes et tapis de mousses (4*).;Moder;"Ranker, Humuspodsol
";"Skelettgehalt mittel bis sehr hoch, Gründigkeit mittel bis sehr tief, durchlässig, keine Vernässung. In Verlustlagen ist die biologische Aktivität durch die Bodensäure gehemmt.
";Pierrosité moyenne à très élevée, moyennement profond à très profond, perméable, non hydromorphe. Dans les zones érodées, l’activité biologique est ralentie par l’acidité du sol.;0;0;2;;;0;0;1;2;1;2;2;2;1;1;0;0;0;2;2;0;0;2;0;0;0;0;3Stern;;;;;;;;;;1;;0;;0;;0;0;2;0
4;4;;;;"Hêtraies souvent denses, troncs fréquemment rectilignes. En mélange par endroits : chêne sessile, châtaignier, alisier blanc, tremble, érable sycomore, sapin, épicéa, mélèze. Cytise des Alpes, rarement bouleau. Dans la région 5a qui marque la limite de l’aire de l’épicéa, présence éventuelle de quelques épicéas ; ces derniers manquent totalement dans la région 5b. Les rares stades de forêt définitive sont plus riches en sapins et correspondent au type de station 19L (hêtraie à sapin avec cytise).";25;30;35;30;;Hanglagen, oft Mulden, meistens Schattenhänge. Von 700 (500) bis 1400 m über Meer;Pentes, souvent cuvettes, généralement versants ombragés. De 700 (500) à 1400 m d’altitude.;"Spärliche Krautschicht, oft mächtige Laubansammlungen, Farne.
";"Strate herbacée clairsemée ; souvent épais amoncellements de feuilles, fougères. ";Mull oder Moder;"Braunerde, stellenweise podsolierte Braunerde, Humuspodsol
";"Skelettgehalt mittel bis sehr hoch, Gründigkeit sehr tief, durchlässig, keine Vernässung
";Pierrosité moyenne à très élevée, sol très profond, perméable, non hydromorphe. ;0;0;2;;;1;0;2;1;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;;;;;;;;;;1;;0;;0;;0;0;0;0
6;6;;H;"Wüchsiger Buchenwald, oft reine Buchenbestände, aber häufig auch Traubeneichen beigemischt. 
";Hêtraie fertile, peuplements de hêtres souvent purs, mais souvent aussi en mélange avec le chêne sessile. ;25;35;38;35;;"Kuppen, flache Hügelrücken und Hänge über kalkarmem oder tiefgründig ausgewaschenem Muttergestein
";Élévations de terrain, plateaux au sommet des collines et pentes sur roche-mère pauvre en calcaire ou lessivée en profondeur.  ;"Krautschicht oft artenarm und lückig. Oft moosige Stellen.
";Strate herbacée souvent pauvre en espèces et lacunaire. Souvent zones muscinales. ;Moder;"Parabraunerde und stark saure Braunerde, teilweise vernässt
";"Gründigkeit mittel bis sehr tief, biologische Aktivität etwas eingeschränkt, Durchlässigkeit mittel bis sehr hoch, aber auf Parabraunerden in tieferen Horizonten mancherorts etwas eingeschränkt. Keine Vernässung bis schwach pseudovergleyt
";Sol moyennement profond à très profond, activité biologique quelque peu limitée, perméabilité moyenne à très élevée, mais quelque peu limitée par endroits sur les sols bruns lessivés dans les horizons inférieurs. Non hydromorphe à peu pseudogleyifié.;0;0;1;60;;1;2;2;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;1;;0;;0;;0;0;0;0
