STO_Nr;Laubholzanteil_prozent;Bu;TEi;SEi;BAh;SAh;BUl;Es;SEr;TKi;FAh;HBu;Ki;WLi;SLi;EBe;MBe;VBe;Nu;FUl;FEi;FlUl;SbAh;HBi;Ro;REi;As;Ta;Fi;Fö;Lä;Eib;BFö;SFö;Dou
1;70-100;N;D;;;;;;;;;N;;N;;;;;;;;;;N;;;;;;D;G;;;;
6;60-100;D;D;;;N;;;;;;N;N;N;;;;;;;;;;N;G;G;;;G;G;G;;;;G
7a;70-100;D;D;D;D;;;D;;;;N;N;N;;;;;;;;;;;G;G;;S;G;G;G;;;;G
7b;80-100;D;;D;D;;;D;;;;N;D;N;;;;;;;;;;;;G;;;;G;;;;;
7a(10a) / 7S(10a);60-100;D;D;;D;N;;D;;;N;N;D;N;;;;;;;;;;;;G;N;S;G;G;G;;;;
7a(9a) / 7S(9a);50-100;D;D;D;D;;;D;;;;N;N;N;;;;;;;;;;;;G;;S;G;G;G;;;;G
7S;90-100;D;;D;D;N;N;D;N;;N;N;D;N;;;;;;;;;;;;;N;S;G;;;;;;
8a / 8a(12a);50-100;D;;;D;;N;D;;;;;;;;;;;;;;;;;;;;D;G;;;;;;G
8a(12e);50-100;D;;;D;;N;N;;;;;;;;;;;;;;;;;;;;D;G;G;;;;;G
8d;50-100;D;;;D;;N;D;;;;;;;;;;;;;;;;;;;;D;G;;;;;;G
8S;80-100;D;;;D;;N;;;;;;;;;;;;;;;;;;;;;D;G;;;;;;
9a / 9a(11);70-100;D;D;;D;N;;D;;;N;N;D;D;D;;;;N;;;;;;G;;;N;G;G;G;;;;G
9w;60-100;N;D;;D;N;;D;;;N;;N;;;N;N;;;;;;;;;;;;;N;;;;;
10a;60-100;D;D;;D;N;;;;;N;;;;;N;N;;N;N;;;S;;G;;;;;D;G;;;G;
10w;60-100;D;D;;D;N;;D;;;N;;N;;;N;N;;;;;;;;;;;;;D;;;;;
11;90-100;N;;D;D;N;N;D;;;N;N;N;N;N;;;;;;;;;;;;N;S;;;;;;;
12a / 12a(9a);60-100;D;;;D;N;D;;;;;;;;D;;;;;;;;;;;;;D;G;;G;N;;;
12S;80-100;D;;;D;N;D;;;;;;;;;;;;;;;;;;;;;D;G;;;;;;
12e / 18*;60-100;D;;;D;;;;;;;;;;;;D;;;;;;;;;;;;;D;G;;;G;
12w;60-100;D;;;D;;D;;;;;;;;;;D;;;;;;;;;;;;;D;;;;;
13a;90-100;D;;;D;D;N;D;;;;;;;D;;;;;;;;;;;;;S;;S;;;;;
13e;90-100;D;D;;D;N;;;;;N;;;D;D;;N;;;;;;;;;;;;;N;;;;G;
13h / 13eh;80-100;D;;;D;;N;;;;;;;;D;;;;;;;;;;;;;D;;;;;;;
14;70-100;D;D;;N;;;;;;N;;;N;N;N;N;;;;;;S;;G;;;;;D;;;;G;
15;70-100;D;D;;N;;;;;;N;;;N;N;N;N;;;;;;S;;G;;;;;D;;;;G;
16;80-100;D;N;;N;;;;;;;;;;;;D;;;;;;;;;;;;S;N;;;;;
17;80-100;D;;;D;;;D;;;;;;;;;;;;;;;;;;;;D;S;N;;N;;;
18M;40-100;D;;;D;;N;D;;;;;;;;;;N;;;;;;;;;;D;D;;;;;;
19;40-100;D;;;N;;;;;;;;;;;;;N;;;;;;;;;;D;D;;;;;;
20;50-100;D;;;D;;N;D;;;;;;;;;;N;;;;;;;;;;D;N;;;;;;
22;100;;;;D;;N;N;;;;;;;D;;;;;;;;;;;;;;;;;;;;
22C;100;;;;D;;N;D;;;;;N;;D;;;;;;;;;;;;;;;;;;;;
25*;100;;N;;N;N;;;;;;;;D;D;;N;;;;;;;;;;;;;S;;;;;
26;100;;;D;D;;N;D;N;N;;N;N;;;;;;;;;;;;;;N;S;;;;;;;
26h / 27h;80-100;;;;D;;N;D;;;;;;;;;;;;;;;;;;;;N;;;;;;;
27;100;;;;D;;;D;D;;;;;;;;;;;;;;;;;;N;;;;;;;;
29;100;;;D;D;D;;D;;N;N;N;D;;;;;;;;;;;;;;;;;;;;;;
30;100;;;;;;;D;D;;;;;;;;;;;;;;;;;;;;;;;;;;
35A;90-100;;D;D;;D;;D;;;N;N;D;N;;;;;S;;;N;;;G;;;;;S;;;;;
38 / 39;90-100;;D;;;;;;;;N;;;;;;N;;;;D;;N;;;;;;;S;;;;;
44;100;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;;
48;0-10;N;;;;;;;;;;;;;;;;N;;;;;;;;;;D;D;;;;;;
61 / 62;0-30;;;;N;;;;;;;;;;;;D;;;;;;;;;;;;;D;;;;;
65;0-30;;;;;;;;;;;;;;;;D;;;;;;;;;;;;;D;;;S;;
