STO_Nr;NNO_12;NNO_25;NNO_37;NNO_50;NNO_62;NNO_75;NNO_87;NNO_100;NOO_12;NOO_25;NOO_37;NOO_50;NOO_62;NOO_75;NOO_87;NOO_100;OSO_12;OSO_25;OSO_37;OSO_50;OSO_62;OSO_75;OSO_87;OSO_100;SOS_12;SOS_25;SOS_37;SOS_50;SOS_62;SOS_75;SOS_87;SOS_100;SSW_12;SSW_25;SSW_37;SSW_50;SSW_62;SSW_75;SSW_87;SSW_100;WSW_12;WSW_25;WSW_37;WSW_50;WSW_62;WSW_75;WSW_87;WSW_100;WNW_12;WNW_25;WNW_37;WNW_50;WNW_62;WNW_75;WNW_87;WNW_100;NNW_12;NNW_25;NNW_37;NNW_50;NNW_62;NNW_75;NNW_87;NNW_100
1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0
6;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
7a;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0
7b;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0
7a(10a);1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0
7S(10a);1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0
7a(9a);1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0
7S(9a);1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0
7S;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
8a(12a);1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0
