STO_Nr;A;B;C;E;F;G;H;I ;J;K;L;M;N;O;P;BEMERKUNG;GESGR_Nr
1;;2;3;;;;;;;;;;;;;;1, 2
1h;;3;3;;;;;;;;1;;;;;;"18, 19, 
20, 21"
2;1;3;3;;;;;;;;;;;;;Weissmoos;1, 2
6;;;2;1;1;;;;;;;;;;;;6, 7
7a;;;;3;3;;;;;;;;;;;;6, 7
7b;;;2;1;1;;1;;;2;;;;;;;6, 7
7d;;;2;1;1;;;;;;;;;;;;6, 7
7e;;;;2;2;;;;;;;2;;2;;;6, 7
7f;;;;3;3;;;;;;;2;;1;;;6, 7
7S;;;;3;3;1;3;;;3;;1;;;;M, zeigt Kalk in Tiefe;6, 7
7*;;;3;;;;;;;;;;;;;;6, 7
8a;;;;3;3;;;;;;2;;;;;;8
8b;;;2;1;1;;1;;;2;2;;;;;;8
8c;;;2;1;1;;;;;;1;;;;;;8
8d;;;2;1;1;;;;;;1;;;;;;8
8e;;;;2;2;;;;;;2;2;;2;;;8
8f;;;;3;3;;;;;;2;2;;1;;;8
8S;;;;3;3;1;3;;;3;2;1;;1;;mit Kalk: G-2, M-2, O-1;8
8*;;;3;;;;;;;;1;;;;;;8
9a;;;;3;3;1;;;;;;3;;1;;örtlich: H, K-2, G-1;"9, 10, 
11"
9w;;;;2;2;1;1;;;1;;3;;3;;;"9, 10, 
11"
10w;;;;2;2;;;;;;;3;;3;1;;"9, 10, 
11"
11;;;;3;3;3;2;1;;2;;2;;;;;"9, 10, 
11"
12a;;;1;3;3;;;;;;2;3;;;;örtlich: C-2;12, 13
12e;;;;2;2;;;;;;2;3;;2;2;;12, 13
12S;;;;3;3;1;3;;;3;2;3;;;;örtlich: G-3;12, 13
12w;;;;2;2;;1;;1;1;2;3;;3;1;;12, 13
13a;;;;3;3;1;;1;;1;2;3;2;;;örtlich: G-3, H-2;12, 13
13e;;;;2;2;;;;;;1;3;2;1;2;;12, 13
13h;;;;3;3;;1;;;;3;2;1;;;örtlich: O-1, P-2;12, 13
14;;;;2;2;;;;;;;3;;1;2;"Weiss-Segge; örtlich: O-3, P-3";"14, 15,
16"
15;;;1;2;1;;;;;;;3;;1;2;"Berg-Segge; örtlich: O-3, P-2";"14, 15,
16"
16;;;2;1;1;;;;;;;2;;2;3;Blaugras;"14, 15,
16"
17;;;1;2;2;1;2;1;1;1;;2;;3;1;G: auf Kante;17
18;;;1;3;3;;1;;1;1;2;;;;;örtlich viel hoher Schwingel;"18, 19, 
20, 21"
18c;;;3;1;;;;;;;1;;;;;;18, 19, 20, 21
18M;;;;3;3;1;1;;1;;3;2;;1;;örtlich mit G, H;"18, 19, 
20, 21"
18v;;;;2;2;;1;2;1;1;2;2;;3;;;"18, 19, 
20, 21"
18w;;;1;2;2;;1;;1;1;3;2;;3;1;;"18, 19, 
20, 21"
18*;;;;2;2;;;;;;2;2;;2;2;;"18, 19, 
20, 21"
19;;;3;1;1;;;;;;2;;;;;;"18, 19, 
20, 21"
19f;;;2;1;1;;1;;;2;1;;;;;;"18, 19, 
20, 21"
20;;;1;3;3;;2;1;3;2;2;;;;;;"18, 19, 
20, 21"
20E;;;1;3;3;1;3;1;2;3;3;;;;;;"18, 19, 
20, 21"
21;;;;3;3;;2;2;3;2;2;;;1;;;"18, 19, 
20, 21"
22;;;1;2;2;;;;;;2;2;3;;;grobe Blöcke: Hirschzunge. Feinerde: Mondviole, H, J;"22, 23, 
24"
22A;;;;2;2;;1;2;1;1;2;2;;1;;Geissbart;"22, 23, 
24"
23;;;;1;;;;;;;1;3;1;3;2;;"22, 23, 
24"
24*;;;;3;3;;2;;2;1;3;2;1;2;;;"22, 23, 
24"
26;;;;3;3;;3;2;;3;;;;;;"mit Kalk: M-3, O-1; örtlich G-3; auf Geröll: N";26, 27
26c;;;3;1;;;1;;;1;;;;;;;26, 27
26h;;;;3;3;;3;2;2;3;2;;;;;"mit Kalk: M-3, O-1; örtlich G-3";26, 27
26P;;;;2;2;;2;1;1;1;1;2;;3;;;26, 27
26w;;;;2;2;;2;1;2;2;1;2;;3;;;26, 27
27;;;;3;3;1;3;3;1;3;;1;;;;;26, 27
27h;;;;3;3;1;3;3;3;3;3;1;;;;;26, 27
