STO_Nr;Kategorie;Fi;Ta;WFö;BFö;Ei;Lä;Dg;Bu;Es;BAh;SAh;SEi;TEi;WLi;SLi;Ki;BUl;FUl;SEr;GEr;AEr;HBi;TKi;VBe;MBe;Wei;Lbh_min;Lbh_opt;Ta_min;Ta_opt;GESGR_Nr
1;NW;0-20;0-10;0-10;;;;;80-100;;;;;0-5;0-5;;;;;;;;;;;;;70;80;;;1, 2
1h;NW;30-60;10-30;;;;;;10-20;;;;;;;;;;;;;;;;0-5;0-5;;10;20;1/3;1/3;"18, 19, 
20, 21"
2;NW;0-10;0-5;0-20;;;;;80-100;;;;;0-10;0-5;;;;;;;;;;0-5;;;80;90;;;1, 2
6;NW;0-5;;0-5;;;;;90-100;;;;;0-5;;;0-5;;;;;;;;;;;60;80;;;6, 7
6;WW;0-20;;0-20;;;0-20;0-20;60-100;;;;;0-20;;;;;;;;;;;;;;;;;;6, 7
7a;NW;;0-5;;;;;;80-100;0-10;0-10;;;;;;0-5;0-5;;;;;;;;;;50;80;;;6, 7
7a;WW;0-30;;;;;;0-10;40-100;0-40;0-50;;;;;;0-30;0-20;;;;;;;;;;;;;;6, 7
7b;NW;0-10;0-20;;;;;;70-100;0-5;0-10;;;;;;0-5;0-5;;;;;;;;;;50;70;1/2;1/2;6, 7
7b;WW;0-10;0-20;;;;;0-20;40-100;0-10;0-20;;*0-100;;;;0-10;;;;;;;;;;;;;;;6, 7
7d;NW;0-10;0-10;;;;;;70-100;;;;;;;;0-5;;;;;;;;;;;50;70;;;6, 7
7d;WW;0-20;0-10;0-10;;;0-20;0-20;40-100;;0-10;;*0-100;;0-10;;0-10;;;;;;;;;;;;;;;6, 7
7e;NW;;;0-5;;;;;70-100;0-10;0-10;0-10;;0-5;0-5;;0-10;0-10;;;;;;;;0-5;;50;80;;;6, 7
7e;WW;;;0-20;;;0-20;;60-100;;0-10;0-20;;0-10;0-5;;0-10;0-10;;;;;;;;0-10;;;;;;6, 7
7f;NW;;;;;;;;70-100;0-20;0-20;0-5;;;;;0-10;0-10;;;;;;;;;;50;80;;;6, 7
7f;WW;;;;;;;;30-100;0-60;0-60;0-20;;;;;0-30;0-20;;;;;;;;;;;;;;6, 7
7S;NW;;0-10;;;;;;50-100;0-40;0-30;;;;;;0-10;0-20;;;;;;;;;;70;80;1/2;2/3;6, 7
7S;WW;;0-30;;;;;;20-100;0-40;0-70;;;;;;0-20;0-30;;;;;;;;;;;;;;6, 7
7*;NW;20-50;20-50;0-5;;;;;20-60;;;;;;;;;;;;;;0-5;;0-5;;;30;50;1/2;1/2;6, 7
7*;WW;20-50;20-50;0-30;;;0-20;0-20;20-60;;0-10;;*0-100;;0-10;;;;;;;;0-5;;0-5;;;;;;;6, 7
8a;NW;0-10;0-20;;;;;;60-100;0-10;0-20;;;;;;0-10;0-5;;;;;;;;;;40;60;1/2;1/2;8
8a;WW;0-30;0-30;;;;;0-20;40-100;0-50;0-50;;;;;;0-10;0-10;;;;;;;;;;;;;;8
