STO_Nr;L;F;H;Ahh;Ah;BASEN;FEUCHTE;BESONDERHEITEN;BEMERKUNG;GESGR_Nr
1;3;3;;2;;;;;;1, 2
1h;3;3;;2;;;;;;"18, 19, 
20, 21"
2;3;3;;3;;;;1 podsoliert;Streu oft weggeweht;1, 2
6;3;2;;1;1;;;;;6, 7
7a;2;;;;2;;;;;6, 7
7b;3;3;;1;1;;2;;;6, 7
7d;3;2;;1;1;;;;;6, 7
7e;1;;;;2;1;;;;6, 7
7f;;;;;3;1;;;;6, 7
7S;;;;;3;;2;;örtlich Kalk;6, 7
7*;3;3;;3;;;1;;;6, 7
8a;2;1;;;2;;;;;8
8b;3;3;;2;1;;2;;;8
8c;3;3;;1;1;;;;;8
8d;3;3;;1;1;;;;;8
8e;1;;;;2;1;;;;8
8f;;;;;3;1;;;;8
8S;;;;;3;;2;;örtlich Kalk;8
8*;3;3;;3;;;1;;;8
9a;;;;;3;3;;2 skelettreich;örtlich vergleyt;"9, 10, 
11"
9w;;;;;2;3;1;3 mergelig;;"9, 10, 
11"
10w;;;;;2;2;;2 mergelig;;"9, 10, 
11"
11;;;;;3;3;2;;;"9, 10, 
11"
12a;;;;;3;3;;;örtlich Auflage;12, 13
12e;1;1;;;2;3;;;;12, 13
12S;;;;;3;3;2;;;12, 13
12w;1;1;;;2;3;;3 mergelig;;12, 13
13a;;;;;3;3;;3 schuttig;örtlich tonreich;12, 13
13e;;;;;2;3;;3 schuttig;;12, 13
13h;;;;;3;3;;3 schuttig;;12, 13
14;;;;;2;3;;;örtlich mergelig;"14, 15,
16"
15;2;2;;;1;2;;;örtlich mergelig;"14, 15,
16"
16;1;2;;1;1;3;;;;"14, 15,
16"
17;1;1;;;2;2;;meist flachgründig;Auflage nesterweise;17
18;2;1;;;2;;;;;"18, 19, 
20, 21"
18c;3;3;;2;1;;;;;18, 19, 20, 21
18M;1;;;;3;2;;;;"18, 19, 
20, 21"
18v;;;;;2;3;1;3 mergelig, steil;;"18, 19, 
20, 21"
18w;1;;;;2;3;;2 mergelig, steil;;"18, 19, 
20, 21"
18*;1;;;;2;3;;;;"18, 19, 
20, 21"
19;3;3;;2;;;;;;"18, 19, 
20, 21"
19f;3;3;;2;1;;2;;;"18, 19, 
20, 21"
20;;;;;3;1;2;;;"18, 19, 
20, 21"
20E;1;;;;3;1;2;;örtlich Kalk;"18, 19, 
20, 21"
21;;;;;3;2;2;;;"18, 19, 
20, 21"
22;;;;;2;3;;blockiger Schutt;;"22, 23, 
24"
22A;;;;;2;3;1;3 mergelig, steil;stark rutschig;"22, 23, 
24"
23;;;;;1;3;;bewegter Schutt;;"22, 23, 
24"
24*;;;;;2;3;1;Schutt mit Feinerde;;"22, 23, 
24"
26;;;;;3;1;3;örtlich Kalk, örtlich auf Schutt;Ah=Hydromull;26, 27
26c;3;3;;3;1;;3;;;26, 27
26h;;;;;3;1;3;örtlich Kalk;Ah=Hydromull;26, 27
26P;;;;;2;3;3;meist rutschig;;26, 27
26w;;;;;2;3;3;mergelig, oft rutschig;;26, 27
27;;;;;3;2;3;;Ah=Anmoor;26, 27
27h;;;;;3;2;3;;Ah=Anmoor;26, 27
28;;;;;3;3;3;;sandhaltig;"28,29,
30,32"
29;;;;;3;1;3;;Hydromull, Kalk selten;"28,29,
30,32"
29A;;;;;3;3;3;;sandhaltig;"28,29,
30,32"
29C;;;;;2;3;2;;sandig;"28,29,
30,32"
29h;;;;;3;1;3;;Hydromull, Kalk selten;"28,29,
30,32"
29Ls;3;3;;3;1;;3;;;26, 27
30;2;2;;1;2;1;3;Auflage sehr variabel;Anmoor;"28,29,
30,32"
32C;;;;;1;3;1;auf Bachschutt;;"28,29,
30,32"
32V;;;;;2;3;1;auf Bachschutt;;"28,29,
30,32"
44;;;;;3;3;3;;Anmoor;44, 45
45;2;2;3;3;;;3;;Torf;44, 45
46;3;3;2;3;;;1;;;46
46t;3;3;2;3;;;1;;;46
46*;3;3;3;3;;;3;;;46
48;1;1;;;;;;auf Blockschutt;örtlich auf Karst;48
49;2;2;2;3;3;1;3;Mosaik Rohhumus/Hydromull;;49, 50
50;2;1;;1;2;;;;;49, 50
50d;2;3;;3;1;;;;;49, 50
50f;;;;;3;2;2;;;49, 50
53;2;2;;3;;3;;;örtlich auf Karst;53, 56, 57, 60
53Ta;2;2;;3;;3;;;örtlich auf Karst;53, 56, 57, 60
56;3;3;3;3;;;3;;;53, 56, 57, 60
57B;3;3;3;3;;;3;;;53, 56, 57, 60
57Bl;2;2;3;3;;;3;auf Blockschutt;örtlich auf Karst;53, 56, 57, 60
57S;3;3;3;3;;;3;;;53, 56, 57, 60
57V;2;2;;3;;;1;;;53, 56, 57, 60
60;;;;;3;1;3;;;53, 56, 57, 60
60*;;;;;2;3;1;;;53, 56, 57, 60
60*Ta;;;;;2;3;1;;;53, 56, 57, 60
62;;;;;2;3;;;;62, 65
65;;;;;2;3;;;;62, 65
67;1;;;;1;3;;;;"67, 69, 
70, 71"
69;1;2;;2;;2;;;;"67, 69, 
70, 71"
70;2;2;2;3;;;3;;Rohhumus;"67, 69, 
70, 71"
71;3;3;3;3;;;3;;Torf;"67, 69, 
70, 71"
71*;3;3;3;3;;;3;;Torf;"67, 69, 
70, 71"
AV;;;;;3;2;2;;;AV
