STO_Nr;NNO_12;NNO_25;NNO_37;NNO_50;NNO_62;NNO_75;NNO_87;NNO_100;NOO_12;NOO_25;NOO_37;NOO_50;NOO_62;NOO_75;NOO_87;NOO_100;OSO_12;OSO_25;OSO_37;OSO_50;OSO_62;OSO_75;OSO_87;OSO_100;SSO_12;SSO_25;SSO_37;SSO_50;SSO_62;SSO_75;SSO_87;SSO_100;SSW_12;SSW_25;SSW_37;SSW_50;SSW_62;SSW_75;SSW_87;SSW_100;WSW_12;WSW_25;WSW_37;WSW_50;WSW_62;WSW_75;WSW_87;WSW_100;WNW_12;WNW_25;WNW_37;WNW_50;WNW_62;WNW_75;WNW_87;WNW_100;NNW_12;NNW_25;NNW_37;NNW_50;NNW_62;NNW_75;NNW_87;NNW_100
1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;0;0;0;0;0;0
2;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;2;2;1;1;1;2;0;0;2;2;1;1;1;2;0;0;2;2;1;1;1;2;0;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
7a;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
7S;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;2;2;2;2;0;0;1;1;2;2;2;2;0;0;1;1;2;2;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
7b;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;2;2;2;0;0;0;1;1;2;2;2;0;0;0;1;1;2;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0
7d;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
7e;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;1;1;0;0;0;0;0;2;1;1;0;0;0;0;0;2;1;1;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0
7f;2;1;1;1;2;2;0;0;2;1;1;1;2;2;0;0;2;1;1;1;2;2;0;0;2;1;1;1;2;2;0;0;2;1;1;1;2;2;0;0;2;1;1;1;2;2;0;0;2;1;1;1;2;2;0;0;2;1;1;1;2;2;0;0
7*;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0;1;1;1;2;2;0;0;0
8a;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
8S;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;2;2;2;2;0;0;1;1;2;2;2;2;0;0;1;1;2;2;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
8b;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;2;2;2;2;0;0;1;1;2;2;2;2;0;0;1;1;2;2;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
8c;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
8d;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;2;2;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;2;2;2;2;0;0;1;1;0;0;0;0;0;0
8e;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
8f;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0
8*;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
9a;2;2;2;2;2;2;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;2;2;2;2;0;0
9w;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0
10w;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0
12a;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0
12S;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0
12e;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;2;2;0;0
12w;0;0;2;2;2;2;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;2;2;0;0
13a;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
13e;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13h;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
22A;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
21;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
22;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24*;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0
18;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0;2;2;1;1;1;1;0;0
20E;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0;2;2;1;1;2;2;0;0
20;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0
19f;1;1;1;1;2;0;0;0;1;1;1;1;2;0;0;0;1;1;1;1;2;0;0;0;1;1;1;1;2;0;0;0;1;1;1;1;2;0;0;0;1;1;1;1;2;0;0;0;1;1;1;1;2;0;0;0;1;1;1;1;2;0;0;0
18c;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0;1;1;1;1;2;2;0;0
18*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0
18M;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0
18w;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0;0;0;2;2;1;1;0;0
18v;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1
