STO_Nr;STO_DEU;STO_LAT;EIGNUNG;WB_VERJ_ENT;WB_PFL;BESCHREIBUNG;HOEHENVERBREITUNG;VEGETATION;VORWALDBAUMARTEN;GESGR_Nr;VERDRISK;PRIORITAET
1;Typischer Hainsimsen-Buchenwald;Luzulo silvaticae-Fagetum typicum;"PR: Mässig geeignet, da Zuwachs reduziert und Wuchsform etwas wild.
NG: Gute Schutzwirkung durch stabile Standorte.
NS: Einige Besonderheiten durch trocken-sauren Standort.";"N: Bu und Ta unter Schirm; Übrige in Lücken.
Mit stärkerer Lichtung und kurzen Verjüngungs-Zeiträumen werden Mischbaumarten (TEi, WFö) gefördert.
Sehr kleinflächiger Femelschlag. Grosse Lücken führen zu Aushagerung.";"Mischungsregulierung ab Dickung, mässige Durchforstungen bis BH 1.
Mischbaumarten einzeln bis truppweise.";Hallenartige Buchenwälder mit mittlerer Wüchsigkeit. Mit beigemischter WFö und TEi. Stammformen etwas gekrümmt, oft astig.;"submontan, untermontan; 400-900m";"SS: Meist fehlend.
KS: Spärlich, mit Heidelbeere, Busch- und Wald-Hainsimse.
MS: Zypressenmoos.";VBe, MBe, Kast;1, 2;1;
1h;Artenarmer Waldsimsen-Tannen-Buchenwald;Luzulo-Abieti-Fagetum, artenarme Ausb.;"PR: Wuchskraft gering, wenig vielseitig. 
NG: Ausgezeichnete Schutzwirkung, da sehr stabile Standorte; mit Dauerbestockung wird dies betont.
NS: Wenig Besonderheiten, extreme Säurezeiger.";"N: Hauptbaumarten unter Schirm und im Lichtschacht. Verjüngung fördern durch Lichtungshiebe mit Seiten- und Schachtlicht. 
Direktes Sonnenlicht und Wind erzeugen besonders starke Aushagerung.
Einzel- bis Gruppenplenterung.
U: Überführung in Plenterstruktur ist zentral: Früh punktuelle Vorverjüngung auf ganzer Fläche einleiten. Einzelbäume mit grösster Lebenserwartung stehen lassen.
";"N: Kann sich auf Schlagpflege beschränken.
Mischungsform: Einzeln bis truppweise.
U: Punktuelle Eingriffe zur Förderung der Plenterstruktur.
";"Wenig wüchsige Mischbestände von Fi, Bu und Ta  auf markant trocken-sauren Kuppen und Rücken. Unterwuchs mit extremen Säurezeigern. 
Boden sandig bis schluffig, gut drainiert, nährstoffarm, sauer, Rohhumusbildung mit geringer Mächtigkeit.";"obermontan; 900-1300m";"B: Preiselbeere, Zypressenmoos, Weissmoos, Besenheide
C: Heidelbeere, Rippenfarn, Wald-Hainsimse, Tamariskenmoos
";VBe, MBe;"18, 19, 
20, 21";1;
2;Hainsimsen-Buchenwald mit Weissmoos;Luzulo-Fagetum leucobryetosum;"PR: Wenig geeignet, da Zuwachs reduziert und Wuchsform recht wild.
NG: Gute Schutzwirkung durch stabile Standorte.
NS: Besonderheiten durch trocken-sauren Standort.";"N: Bu unter Schirm; Übrige in Lücken.
Mit stärkerer Lichtung und kurzen Verjüngungs-Zeiträumen werden Mischbaumarten (TEi, WFö) gefördert.
Kleinflächiger Femelschlag. Grosse Lücken führen zu starker Aushagerung.";"Mischungsregulierung ab Dickung, mässige Durchforstungen bis BH 1.
Mischbaumarten einzeln bis truppweise.";Hallenartige Buchenwälder mit mässiger Wüchsigkeit. Mit beigemischter WFö und TEi. Stammformen oft gekrümmt und astig.;"submontan, untermontan; 400-800m";"SS: Meist fehlend.
KS: oft niedrig; Heidelbeere, Busch- und Wald-Hainsimse, Preiselbeere, ev. Besenheide.
MS: Zypressenmoos, Weissmoos.";VBe, MBe, Kast;1, 2;1;3
6;Waldmeister-Buchenwald mit Hainsimse;Galio-Fagetum luzuletosum;"PR: Mässig geeignet, da Zuwachs vermindert, Auswahl an Baumarten eher gering.
NG: Gute Schutzwirkung durch stabile Standorte.
NS: Wenige Besonderheiten.";"N: Bu unter Schirm; Übrige in Lücken.
Mit kurzen Verjüngungs-Zeiträumen werden Mischbaumarten gefördert.
Femelschlag.";"N: Mischungsregulierung ab Dickung, Durchforstung bis Beginn BH 2.
Mischbaumarten einzeln bis truppweise.
";"Recht wüchsige Hallen-Buchenwälder auf Kuppen, an Hangkanten und mässig steilen Hängen, vorwiegend in Südwestlage. Unterwuchs spärlich und lückig. 
Boden leicht trocken, sandig bis sandig-schluffig und schwach sauer.";"submontan; 500-800m";"C: Busch-Hainsimse, Wald-Hainsimse, Wald-Frauenhaar.
E: Waldmeister, Busch-Windröschen";Kast, Wei;6, 7;2;
7a;Typischer Waldmeister-Buchenwald;Galio-Fagetum typicum;"PR: Produktiver Standort mit grossem Spielraum in der Baumartenwahl.
NG: Erhöhte Gefährdung, wenn Lage in Bacheinhängen (oft im Mittelland).
NS: Besonderheiten selten.";"N: Bu unter Schirm; Übrige in Lücken. 
Mit Lichtungshieben wird v.a. Bu gefördert, mit flächigen Verjüngungshieben bis Gruppengrösse die Lichtbaumarten; Ausrichtung der Hiebsränder zur Förderung der Baumartenvielfalt variieren.
Femelschlag.
U: Vorhandene Ansamung begünstigen!
Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen. Ohne Bu grösserflächig öffnen zur Ansamung von Es und BAh. Auch gruppenweise Bu unterpflanzen, v.a. in Brombeerbeständen.
Verjüngungsflächen mit BAh und Es spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen.

";"N: In Edellaubholzverjüngungen frühe Mischungsregulierung (ab Ende Jungwuchs); grosse Kronen ausbilden; Ende Durchforstung im BH 2.
Mischungsform: Es und BAh trupp- bis gruppenweise, Fi truppweise.";"Wüchsige Hallen-Buchenwälder in flachen bis mässig steilen Lagen aller Expositionen, oft auch in Bacheinhängen. Krautschicht spärlich bis gut ausgebildet. 
Mittlere Standorte mit mittel- bis tiefgründigem, sandig-schluffig oder sandig-lehmigem Boden.";"submontan; 500-700m";"E: Waldmeister, Wald-Veilchen, Busch-
Windröschen
F: Wald-Segge, Berg-Goldnessel";−;6, 7;2;
7b;Waldmeister-Buchenwald mit Lockerähriger Segge;Galio-Fagetum caricetosum remotae;"PR: Produktiver Standort, aber kleine Baumartenauswahl für Wertträger.
NG: Gute Schutzwirkung, da meist stabile Standorte; bei schlechter Bestockung anfällig.
NS: Ohne Besonderheiten.
";"N: Bu und Ta unter Schirm; Edellaubhölzer bei geringer Bodenauflage in Lücken.
Mit Lichtungshieben Bu-Verjüngung fördern; Lichtbaumarten in Lichtschächten auf günstigen Kleinstandorten.
Gruppen-Plenterung oder kleinflächiger Femelschlag.
U: Vorhandenes Edellaubholz konsequent fördern; Auflichtung für Vorverjüngung von Bu, Ta und Fi. 
Ab Anfang Dickung weiteres starkes Auflichten; Räumung des Altbestandes Ende Dickung.
Variante: In Windwurf-Flächen oder Umwandlungsbeständen >1/2 ha: flächig räumen für SEi-Reinbestände mit Nebenbestand von WLi und Hagebuche; diese später pflanzen.
";"N: Mischungsregulierung ab Dickung, Durchforstung bis BH 2. 
Mischungsform: Nadelholz einzeln bis truppweise, Laubholz bis gruppenweise, SEi-Flächen rein.
Bei schluffreichen Böden grosse Verdichtungsgefahr durch Befahren; Konzentration auf Rückegassen.
U: Mischungsregulierung verbunden mit Schlagpflege nach Räumung des Altbestandes. 
";"Wüchsige Buchenmischwälder auf flachen Rücken und an mässig steilen Hängen. 
Boden schluffig, leicht versauert und vernässt, oft Brombeere dominant.
";"submontan; 400-700m";"C: Wald-Frauenhaar, Tamariskenmoos
K: Wald-Gilbweiderich, Abgerücktährige Segge";VBe, HBi, ZPa, Wei;6, 7;3;
7d;Waldmeister-Buchenwald, artenarme Ausb.;Galio-Fagetum, artenarme Ausb.;"PR: Recht produktiv, aber reduzierte Baumartenauswahl für Wertträger (ausser Gastbaumarten).
NG: Ohne Besonderheiten.
NS: Ohne Besonderheiten.";"N: Bu und Ta unter Schirm; Übrige in Lücken.
Verjüngung durch Lichtungshiebe einleiten. Grosser Spielraum bezüglich Verjüngungszeitraum, für Lichtbaumarten kurz.
Femelschlag. Mit Ta und Fi kleinflächig.
U: Vorhandenes Edellaubholz konsequent fördern; Auflichtung für Vorverjüngung von Bu, Ta und Fi. Ab Anfang Dickung weiteres starkes Auflichten; Räumung des Altbestandes Ende Dickung.
Wenn Bu grossflächig fehlt: nesterweise unterpflanzen.
Variante: In Windwurf-Flächen oder Umwandlungsbeständen >1/2 ha: flächig räumen für SEi-Reinbestände mit Nebenbestand von WLi und Hagebuche; diese später pflanzen.

";"N: Mischungsregulierung ab Dickung, Durchforstung bis BH 2.
Mischungsform: Fi und Ta einzeln bis truppweise.
U: Mischungsregulierung verbunden mit Schlagpflege nach Räumung des Altbestandes.";"Wüchsige Hallen-Buchenwälder auf leichten Kuppen, Plateaus und wenig geneigten Hanglagen. Unterwuchs spärlich und artenarm, oft mit dominanter Brombeere. 
Boden leicht versauert, etwas nährstoffärmer als 7a.
";"submontan; 400-700m";"C: Wald-Hainsimse, Wald-Frauenhaar, Tamariskenmoos, Zweiblättrige Schattenblume
E: Waldmeister (vereinzelt)
";HBi, WFö;6, 7;2;
7e;Waldmeister-Buchenwald mit Hornstrauch;Galio-Fagetum cornetosum;"PR: Mässig wüchsig, aber vielseitig.
NG: Erhöhte Gefährdung, wenn steil.
NS: Deutlich erhöhte Bedeutung, besonders vielfältige Strauchschicht.";"N: In lichten Beständen für alle Baumarten meist problemlos. Durch starke, kleinflächige Auflichtung kann Verjüngung beschleunigt werden, v.a. für Lichtbaumarten. Räumungsschlag Ende Dickung.
Femelschlag.
U: Nach kleinflächigen Verjüngungshieben samen alle Baumarten reichlich an.";"N: Mischungsregulierung ab Dickung. Starke Durchforstung bis Ende BH 1.
Mischungsform: Bu trupp- bis gruppenweise oder rein, Übrige einzeln bis truppweise.

";"Mässig wüchsige Hallen-Buchenwälder in sonnigen Hanglagen. Unterwuchs mit ‚Kalksträuchern’. 
Boden oft skelettreich, etwas trockener als 7a, ab ca. 30 cm kalkhaltig.
Mit Weisser Segge: Auf Bachschottern, an der Rigi auf Bergsturzflächen, oberflächlich austrocknend.
";"submontan; 500-800m";"E: Waldmeister, Ähren-Rapunzel, Busch-Windröschen
F: Wald-Segge, Berg-Goldnessel
M: Wald-Zwenke, Stechpalme, Weissdorn, Wolliger Schneeball, Gefingerte Segge; Bingelkraut (auf Schotter)
O: Schlaffe Segge
P: Weisse Segge (oberflächlich schotterig)";−;6, 7;1;
7f;Waldmeister-Buchenwald mit Lungenkraut;Galio-Fagetum pulmonarietosum;"PR: Sehr wüchsiger und vielseitiger Standort.
NG: Ohne Besonderheiten.
NS: Leicht erhöhte Bedeutung durch Kalk im Untergrund.
";"N: Bu unter Schirm, Übrige in Lücken.
Einleitung für Bu durch kleinflächige Auflichtungen; Edellaubhölzer durch Verjüngungshiebe bis Horstgrösse.
Kurze Verjüngungszeiträume.
Femelschlag.
U: Ansamung von BAh und Es begünstigen durch grösserflächige Verjüngungshiebe.
Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen. Verjüngungs-Flächen mit Edellaubholz spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen.
Bei Wildverbiss oder schlechtem Wuchs: Es und BAh auf Stock setzen.

";"N: Mischungsregulierung ab Ende Jungwuchs.
Mischungsform: Gruppen- bis horstweise.
Häufige Durchforstung bis BH 1. Auf starke Kronenausbildung achten. Pflege sehr lohnend!";"Sehr wüchsige Hallen-Buchenwälder an wenig bis stark geneigten Hängen aller Expositionen. 
Boden basen- und nährstoffreicher als 7a, Streu früh zersetzt, ab ca. 30 cm Tiefe kalkhaltig.
";"submontan; 400-700m";"E: Waldmeister, Wald-Veilchen
F: Wald-Segge, Berg-Goldnessel, Aronstab.
M: Bingelkraut oft stark, Wald-Zwenke
";−;6, 7;2;
7S;Feuchter Waldmeister-Buchenwald;Galio-Fagetum stachyetosum sylvaticae;"PR: Sehr produktiver Standort mit grossem Spielraum in der Baumartenwahl.
NG: Erhöhte Gefährdung, v.a. in Bacheinhängen.
NS: Feuchte bietet besonderen Lebensraum; wenn basenhaltig noch deutlicher.";"N: Bu und Ta unter Schirm, Übrige in Lücken.
Mit Lichtungshieben wird v.a. Bu gefördert, mit flächigen Verjüngungshieben bis Gruppengrösse die Lichtbaumarten; Ausrichtung der Hiebsränder zur Förderung der Baumartenvielfalt variieren.
Femelschlag.
U: Vorhandene Ansamung begünstigen, v.a. von BAh und Es!
Wenn Bu vorhanden, dann kleinflächig auflichten zur Vorverjüngung, Ansamung in kleinen Säumen. Ohne Bu grösserflächig; Ansamung von Es und BAh.
Verjüngungsflächen mit BAh und Es spätestens Ende Dickung kräftig erweitern (ca. 1 Baumlänge), Bu erlaubt langsameres Vorgehen.
";"N: Mischungsregulierung ab Ende Jungwuchs, Durchforstung bis BH 1.
Mischungsform: BAh und Es trupp- bis gruppenweise, Ta einzeln bis truppweise. 
Pflege sehr lohnend.";"Sehr wüchsige Laubmischwälder, oft mit dominanter Bu. Krautschicht meist üppig, da sehr aktiver, tiefgründiger, leicht vergleyter Boden.
Bevorzugt in Hangfuss- und Muldenlagen.
";"submontan; 400-700m";"E: Waldmeister, Wald-Veilchen, Busch-Windröschen
F: Wald-Segge, Berg-Goldnessel
H: Wald-Ziest, Wald-Springkraut
K: Pariser-Hexenkraut
";−;6, 7;3;
