2085_NaiS;2085_SO;kantonaler_Steckbrief_vorhanden;2085_Höhenstufe;1975_NaiS;1975_SO;STO_DEU
1;1;nein;;;;
1 collin;1 collin;nein;;;;
2;2;nein;;;;
2 collin;2 collin;nein;;;;
6;6;ja;;;;
6 collin;6 collin;ja;;;;
7a;9a;ja;;18;18aB;
7a;7a;ja;;7a, 8a;7a, 8a;
7a collin;7a collin;ja;;;;
7a(10a);7e;ja;;7a(10a), 8a(12e);7e, 8e;
7a(10a);7j;ja;;7a(10a), 8a(12e);7j, 8j;
7a(10a) collin;7a collin;ja;;;;
7a(6);7d;ja;;;;
7a(6) collin;7a collin;ja;;;;
7a(9a);7f;ja;;;;
7a(9a) collin;7a collin;ja;;;;
7b;7b;nein;;;;
7b collin;7b collin;nein;;;;
7S;7g;ja;;20, 21, 7S, 8S;20, 21, 7g, 8g;
7S;7aS;ja;;7S, 8S;7aS, 8aS;
7S collin;7S collin;ja;;;;
7*;7*;ja;;7*, 8*;7*, 8*;
7*;7*u;ja;;7*;7*u;
7* collin;7* collin;ja;;;;
8a;12aB;ja;;;;
8d;8d;nein;;;;
8S;8g;ja;;;;
9a;9a;ja;;12a, 12a(9), 18M, 9a;12a, 12aB, 12c, 12t, 18a, 9a;
9a;9b;nein;;18M(20);18g;
9a collin;9a collin;ja;;;;
9a(11);9b;nein;;9a(11);9b;
9a(11);9g;nein;;9a(11);9g;
9a(11) collin;9a collin;ja;;;;
9w;9w;ja;;;;
9w collin;9w collin;ja;;;;
10a;10a;ja;;;;
10a collin;10a collin;ja;;;;
10w;10w;ja;;;;
10w collin;10w collin;ja;;;;
11;11;ja;;;;
11 collin;11 collin;ja;;;;
12a;12a;ja;;12a, 18M;12a, 18a;
12a;12b;ja;;18M(20);18g;
12e;12*;ja;;;;
12w;12w;ja;;;;
13a;13a;ja;untermontan;13a, 13h;13a, 13h;
13a;13t;ja; submontan ;13a, 13h, 13a;13a, 13h, 13t;
13a;13g;nein;;13a;13g;
13a collin;13a collin;ja;;;;
13e;13e;ja;;;;
13e collin;13e collin;ja;;;;
14;14a;ja;;14;14a;
14;14w;ja;;14;14w;
14 collin;14 collin;ja;;;;
14(16);14e;ja;;;;
14(16) collin;14 collin;ja;;;;
15;10a;ja;;18*;18*;
15;15a;nein;;15;15a;
15;15w;nein;;15;15w;
15 collin;15 collin;nein;;;;
16;16a;ja;;16;16a;
16;16l;nein;;16;16l;
16;16w;nein;;16;16w;
17;17;ja;;;;
17 collin;17 collin;ja;;;;
22;22;ja;;;;
22 collin;22 collin;ja;;;;
22C;22*;nein;;;;
22C collin;22C collin;nein;;;;
25F;22*;nein;;;;
25*;25*;nein;;;;
25* collin;25* collin;nein;;;;
26;26a;ja;;;;
26;26f;nein;;26, 26h;26f, 26h;
26;26g;nein;;26;26g;
26;26w;nein;;26;26w;
26 collin;26 collin;ja;;;;
27;27a;nein;;27, 49;27a, 49;
27;27f;nein;;27, 27h;27f, 27h;
27;27g;nein;;27;27g;
27;27w;nein;;27;27w;
27 collin;27 collin;nein;;;;
28;28;nein;;;;
28 collin;28 collin;nein;;;;
29;29;nein;;;;
29 collin;29 collin;nein;;;;
29A;29a;nein;;;;
29A collin;29A collin;nein;;;;
29C;29e;nein;;;;
29C collin;29C collin;nein;;;;
30;30;nein;;;;
30 collin;30 collin;nein;;;;
38;38;ja;;38;38;
38;38w;nein;;38;38w;
38 collin;38 collin;nein;;;;
40*;40*;ja;;;;
40* collin;40* collin;nein;;;;
43;43;nein;;;;
43 collin;43 collin;nein;;;;
44;44;nein;;;;
44 collin;44 collin;nein;;;;
45;45;nein;;;;
45 collin;45 collin;nein;;;;
46;46;nein;;;;
48;48;nein;;;;
61;61;nein;;;;
62;62;nein;;;;
62 collin;62 collin;nein;;;;
65;65;nein;;;;
66;66;nein;;;;
66 collin;66 collin;nein;;;;
