NAISTYP_SORT;NAISTYP_C;ART;SISF_NR;VORH;update
1;1;B;100;3;
1;1;B;300;0;
1;1;B;600;0;
1;1;B;700;0;
1;1;B;800;0;
1;1;B;9500;;delete
1;1;B;25200;0;
1;1;B;25300;0;
1;1;B;25400;0;
1;1;B;60400;3;update
1;1;B;96900;0;update
1;1;B;97200;1;update
1;1;B;165000;1;
1;1;B;174200;0;
1;1;B;213300;;delete
1;1;B;217500;0;
1;1;B;227200;1;update
1;1;B;252900;0;
1;1;B;287100;;delete
1;1;B;302800;1;update
1;1;B;304900;0;
1;1;B;305800;0;
1;1;B;306100;1;update
1;1;B;317100;0;
1;1;B;317300;0;
1;1;B;317500;0;update
1;1;B;328400;0;
1;1;B;329700;0;
1;1;B;330600;1;update
1;1;B;335300;0;
1;1;B;335900;1;update
1;1;B;336000;0;
1;1;B;336100;0;
1;1;B;336200;;delete
1;1;B;346500;;delete
1;1;B;362800;0;
1;1;B;363700;3;
1;1;B;402200;0;update
1;1;B;402300;3;
1;1;B;402500;0;
1;1;B;402600;0;
1;1;B;402700;0;
1;1;B;413600;0;update
1;1;B;421400;0;update
1;1;B;421500;0;
1;1;B;432800;0;
1;1;B;432900;0;
1;1;B;433000;0;
1;1;K;33600;0;
1;1;K;55700;2;
1;1;K;57400;1;
1;1;K;64200;0;
1;1;K;86100;0;
1;1;K;92500;1;
1;1;K;143300;0;
1;1;K;179300;0;
1;1;K;179900;2;
1;1;K;194000;0;
1;1;K;202600;0;
1;1;K;229700;1;
1;1;K;246900;1;
1;1;K;247300;1;
1;1;K;247500;2;
1;1;K;248300;1;
1;1;K;252400;2;
1;1;K;256500;1;
1;1;K;256600;1;
1;1;K;265700;2;
1;1;K;287300;2;
1;1;K;302400;0;
1;1;K;310500;2;
1;1;K;313400;0;
1;1;K;324700;0;
1;1;K;325200;2;
1;1;K;330800;2;
1;1;K;415300;1;
1;1;K;434800;1;
1;1;K;442400;1;
1;1;K;444100;2;
1;1;K;451600;2;
1;1;M;1000155;1;
1;1;M;1000171;1;
1;1;M;1000289;1;
1;1;M;1000434;1;
1;1;M;1000447;1;
1;1;M;1000577;1;
1;1;S;113350;;delete
1;1;S;119700;0;
1;1;S;121600;2;
1;1;S;122200;0;
1;1;S;174000;1;
1;1;S;194000;0;
1;1;S;213300;;delete
1;1;S;244000;2;
1;1;S;244200;2;
1;1;S;305500;0;
1;1;S;353100;2;
1;1;S;354400;2;
1;1;S;368300;2;
1;1;S;368400;2;
1.009;1h     ;B;100;1;
1.009;1h     ;B;300;0;
1.009;1h     ;B;600;0;
1.009;1h     ;B;700;0;
1.009;1h     ;B;800;1;update
1.009;1h     ;B;25200;0;
1.009;1h     ;B;25300;0;
1.009;1h     ;B;25400;0;
1.009;1h     ;B;60400;0;update
1.009;1h     ;B;96900;0;
1.009;1h     ;B;97200;0;
1.009;1h     ;B;165000;1;
1.009;1h     ;B;174200;0;
1.009;1h     ;B;217500;0;
1.009;1h     ;B;227200;0;update
1.009;1h;B;252900;0;
1.009;1h     ;B;287100;;delete
1.009;1h     ;B;302800;1;update
1.009;1h     ;B;304900;0;
1.009;1h     ;B;305800;0;
1.009;1h     ;B;306100;0;update
1.009;1h     ;B;317100;0;
1.009;1h     ;B;317300;0;
1.009;1h     ;B;317500;0;update
1.009;1h     ;B;328400;0;
1.009;1h;B;329700;0;
1.009;1h     ;B;330600;0;update
1.009;1h;B;335300;0;
1.009;1h     ;B;335900;0;
1.009;1h     ;B;336000;0;
1.009;1h     ;B;336100;0;
1.009;1h     ;B;346500;;delete
1.009;1h     ;B;362800;0;
1.009;1h     ;B;363700;3;
1.009;1h     ;B;402200;3;update
1.009;1h     ;B;402300;2;
1.009;1h     ;B;402500;0;
1.009;1h;B;402600;0;
