CLNR,IP5AREPROZ,IP50PROZ,NAISTYPDOM,NAISTYPUEB,X95,Y95,NAISTYP_heute,NAISTYP_maessKW,NAISTYP_starkKW,HOESTUF_heute,HOESTUF_maessKW,HOESTUF_starkKW,kat_empf,Baumart_de,Baumart_lat
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_1,Feldahorn,Acer campestre
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_1,Schneeballblättriger Ahorn,Acer opalus
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_1,Traubeneiche,Quercus petraea
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_2,Esche,Fraxinus excelsior
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_2,Waldföhre,Pinus sylvestris aggr.
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_2,Flaumeiche,Quercus pubescens
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_2,Mehlbeere,Sorbus aria
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_2,Speierling,Sorbus domestica
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_2,Winterlinde,Tilia cordata
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_2,Sommerlinde,Tilia platyphyllos
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,Empfohlen_2,Robinie,Robinia pseudoacacia
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Hängebirke,Betula pendula
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Hagebuche,Carpinus betulus
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Wildapfel,Malus sylvestris
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Zitterpappel,Populus tremula
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Kirschbaum,Prunus avium
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Wildbirne,Pyrus pyraster
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Vogelbeere,Sorbus aucuparia
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Elsbeere,Sorbus torminalis
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Breitblättriger Mehlbeerbaum,Sorbus x latifolia (Lam.) Pers.
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Eibe,Taxus baccata
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_1,Schwarzföhre,Pinus nigra
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_2,Bergahorn,Acer pseudoplatanus
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,BedEmpfohlen_2,Buche,Fagus sylvatica
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,bedEmpfohlen_zukunft_2,Blumenesche,Fraxinus ornus
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,bedEmpfohlen_zukunft_2,Nussbaum,Juglans regia
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,bedEmpfohlen_zukunft_2,Hopfenbuche,Ostrya carpinifolia
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,bedEmpfohlen_zukunft_2,Zerreiche,Quercus cerris
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,bedEmpfohlen_zukunft_2,Feldulme,Ulmus minor
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,bedEmpfohlen_zukunft_2,Steineiche,Quercus ilex
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,gefaehrdet,Spitzahorn,Acer platanoides
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,gefaehrdet,Stechpalme,Ilex aquifolium
125,"38,20","45,60",N0014.0000000,,2678002,1291000,14,14,14 collin,untermontan,submontan,collin,gefaehrdet,Lärche,Larix decidua
